ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-19-000965	21	MD
0001665160-19-000965	20	ME
0001665160-19-000965	23	MI
0001665160-19-000965	24	MN
0001665160-19-000965	25	MS
0001665160-19-000965	26	MO
0001665160-19-000965	27	MT
0001665160-19-000965	28	NE
0001665160-19-000965	29	NV
0001665160-19-000965	30	NH
0001665160-19-000965	31	NJ
0001665160-19-000965	32	NM
0001665160-19-000965	33	NY
0001665160-19-000965	34	NC
0001665160-19-000965	35	ND
0001665160-19-000965	36	OH
0001665160-19-000965	1	AL
0001665160-19-000965	2	AK
0001665160-19-000965	3	AZ
0001665160-19-000965	4	AR
0001665160-19-000965	5	CA
0001665160-19-000965	6	CO
0001665160-19-000965	7	CT
0001665160-19-000965	8	DC
0001665160-19-000965	9	DE
0001665160-19-000965	10	FL
0001665160-19-000965	11	GA
0001665160-19-000965	12	HI
0001665160-19-000965	13	ID
0001665160-19-000965	14	IL
0001665160-19-000965	37	OK
0001665160-19-000965	38	OR
0001665160-19-000965	39	PA
0001665160-19-000965	40	PR
0001665160-19-000965	41	RI
0001665160-19-000965	42	SC
0001665160-19-000965	43	SD
0001665160-19-000965	44	TN
0001665160-19-000965	45	TX
0001665160-19-000965	46	UT
0001665160-19-000965	47	VT
0001665160-19-000965	48	VA
0001665160-19-000965	49	WA
0001665160-19-000965	50	WV
0001665160-19-000965	51	WI
0001665160-19-000965	52	WY
0001665160-19-000965	15	IN
0001665160-19-000965	16	IA
0001665160-19-000965	17	KS
0001665160-19-000965	18	KY
0001665160-19-000965	19	LA
0001665160-19-000965	22	MA
0001782650-19-000004	37	OK
0001782650-19-000004	36	OH
0001782650-19-000004	39	PA
0001782650-19-000004	40	PR
0001782650-19-000004	41	RI
0001782650-19-000004	42	SC
0001782650-19-000004	43	SD
0001782650-19-000004	44	TN
0001782650-19-000004	45	TX
0001782650-19-000004	46	UT
0001782650-19-000004	47	VT
0001782650-19-000004	48	VA
0001782650-19-000004	49	WA
0001782650-19-000004	50	WV
0001782650-19-000004	51	WI
0001782650-19-000004	52	WY
0001782650-19-000004	53	A0
0001782650-19-000004	54	A1
0001782650-19-000004	55	A2
0001782650-19-000004	56	A3
0001782650-19-000004	57	A4
0001782650-19-000004	58	A5
0001782650-19-000004	59	A6
0001782650-19-000004	60	A7
0001782650-19-000004	61	A8
0001782650-19-000004	62	A9
0001782650-19-000004	63	B0
0001782650-19-000004	64	Z4
0001782650-19-000004	1	AL
0001782650-19-000004	2	AK
0001782650-19-000004	3	AZ
