ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001668287-18-000092	18	IA
0001668287-18-000092	9	DE
0001668287-18-000092	20	KY
0001668287-18-000092	21	LA
0001668287-18-000092	1	AL
0001668287-18-000092	2	AK
0001668287-18-000092	3	B5
0001668287-18-000092	4	AZ
0001668287-18-000092	5	AR
0001668287-18-000092	6	CA
0001668287-18-000092	7	CO
0001668287-18-000092	22	ME
0001668287-18-000092	23	MD
0001668287-18-000092	24	MA
0001668287-18-000092	25	MI
0001668287-18-000092	26	MN
0001668287-18-000092	27	MS
0001668287-18-000092	28	MO
0001668287-18-000092	29	MT
0001668287-18-000092	30	NE
0001668287-18-000092	31	NV
0001668287-18-000092	32	NH
0001668287-18-000092	33	NJ
0001668287-18-000092	34	NM
0001668287-18-000092	35	NY
0001668287-18-000092	36	NC
0001668287-18-000092	37	ND
0001668287-18-000092	38	OH
0001668287-18-000092	39	OK
0001668287-18-000092	40	OR
0001668287-18-000092	41	PA
0001668287-18-000092	42	PR
0001668287-18-000092	43	RI
0001668287-18-000092	44	SC
0001668287-18-000092	45	SD
0001668287-18-000092	46	TN
0001668287-18-000092	47	TX
0001668287-18-000092	48	1V
0001668287-18-000092	49	VI
0001668287-18-000092	50	UT
0001668287-18-000092	51	VT
0001668287-18-000092	52	VA
0001668287-18-000092	53	WA
0001668287-18-000092	54	WV
0001668287-18-000092	55	WI
0001668287-18-000092	56	WY
0001668287-18-000092	10	DC
0001668287-18-000092	11	FL
0001668287-18-000092	12	GA
0001668287-18-000092	13	GU
0001668287-18-000092	14	HI
0001668287-18-000092	15	ID
0001668287-18-000092	16	IL
0001668287-18-000092	17	IN
0001668287-18-000092	8	CT
0001668287-18-000092	19	KS
0001752130-18-000002	7	CT
0001752130-18-000002	6	CO
0001752130-18-000002	9	DC
0001752130-18-000002	10	FL
0001752130-18-000002	11	GA
0001752130-18-000002	12	HI
0001752130-18-000002	13	ID
0001752130-18-000002	14	IL
0001752130-18-000002	15	IN
0001752130-18-000002	16	IA
0001752130-18-000002	17	KS
0001752130-18-000002	18	KY
0001752130-18-000002	19	LA
0001752130-18-000002	20	ME
0001752130-18-000002	21	MD
0001752130-18-000002	22	MA
0001752130-18-000002	23	MI
0001752130-18-000002	24	MN
0001752130-18-000002	25	MS
0001752130-18-000002	26	MO
0001752130-18-000002	27	MT
0001752130-18-000002	28	NE
0001752130-18-000002	29	NV
0001752130-18-000002	30	NH
0001752130-18-000002	31	NJ
0001752130-18-000002	32	NM
0001752130-18-000002	33	NY
0001752130-18-000002	34	NC
0001752130-18-000002	35	ND
0001752130-18-000002	36	OH
0001752130-18-000002	37	OK
0001752130-18-000002	38	OR
0001752130-18-000002	39	PA
0001752130-18-000002	40	PR
0001752130-18-000002	41	RI
0001752130-18-000002	42	SC
0001752130-18-000002	43	SD
0001752130-18-000002	44	TN
0001752130-18-000002	45	TX
0001752130-18-000002	46	UT
0001752130-18-000002	47	VT
0001752130-18-000002	48	VA
0001752130-18-000002	49	WA
0001752130-18-000002	50	WV
0001752130-18-000002	51	WI
0001752130-18-000002	52	WY
0001752130-18-000002	53	A0
0001752130-18-000002	54	A1
0001752130-18-000002	55	A2
0001752130-18-000002	56	A3
0001752130-18-000002	57	A4
0001752130-18-000002	58	A5
0001752130-18-000002	59	A6
0001752130-18-000002	60	A7
0001752130-18-000002	61	A8
0001752130-18-000002	62	A9
0001752130-18-000002	63	B0
0001752130-18-000002	64	Z4
0001752130-18-000002	1	AL
0001752130-18-000002	2	AK
0001752130-18-000002	3	AZ
0001752130-18-000002	4	AR
0001752130-18-000002	5	CA
0001752130-18-000002	8	DE
0001666102-18-000005	34	NC
0001666102-18-000005	33	NY
0001666102-18-000005	36	OH
0001666102-18-000005	37	OK
0001666102-18-000005	38	OR
0001666102-18-000005	39	PA
0001666102-18-000005	40	PR
0001666102-18-000005	41	RI
0001666102-18-000005	42	SC
0001666102-18-000005	43	SD
0001666102-18-000005	44	TN
0001666102-18-000005	48	VA
0001666102-18-000005	49	WA
0001666102-18-000005	50	WV
0001666102-18-000005	51	WI
0001666102-18-000005	52	WY
0001666102-18-000005	45	TX
0001666102-18-000005	46	UT
0001666102-18-000005	47	VT
0001666102-18-000005	1	AL
0001666102-18-000005	2	AK
0001666102-18-000005	3	AZ
0001666102-18-000005	4	AR
0001666102-18-000005	5	CA
0001666102-18-000005	6	CO
0001666102-18-000005	7	CT
0001666102-18-000005	8	DE
0001666102-18-000005	9	DC
0001666102-18-000005	10	FL
0001666102-18-000005	11	GA
0001666102-18-000005	12	HI
0001666102-18-000005	13	ID
0001666102-18-000005	14	IL
0001666102-18-000005	15	IN
0001666102-18-000005	16	IA
0001666102-18-000005	17	KS
0001666102-18-000005	18	KY
0001666102-18-000005	19	LA
0001666102-18-000005	20	ME
0001666102-18-000005	21	MD
0001666102-18-000005	22	MA
0001666102-18-000005	23	MI
0001666102-18-000005	24	MN
0001666102-18-000005	25	MS
0001666102-18-000005	26	MO
0001666102-18-000005	27	MT
0001666102-18-000005	28	NE
0001666102-18-000005	29	NV
0001666102-18-000005	30	NH
0001666102-18-000005	31	NJ
0001666102-18-000005	32	NM
0001666102-18-000005	35	ND
0001666102-18-000004	25	MS
0001666102-18-000004	24	MN
0001666102-18-000004	51	WI
0001666102-18-000004	52	WY
0001666102-18-000004	26	MO
0001666102-18-000004	27	MT
0001666102-18-000004	28	NE
0001666102-18-000004	29	NV
0001666102-18-000004	30	NH
0001666102-18-000004	31	NJ
0001666102-18-000004	32	NM
0001666102-18-000004	33	NY
0001666102-18-000004	34	NC
0001666102-18-000004	35	ND
0001666102-18-000004	36	OH
0001666102-18-000004	37	OK
0001666102-18-000004	38	OR
0001666102-18-000004	39	PA
0001666102-18-000004	40	PR
0001666102-18-000004	41	RI
0001666102-18-000004	42	SC
0001666102-18-000004	43	SD
0001666102-18-000004	44	TN
0001666102-18-000004	45	TX
0001666102-18-000004	46	UT
0001666102-18-000004	47	VT
0001666102-18-000004	48	VA
0001666102-18-000004	49	WA
0001666102-18-000004	1	AL
0001666102-18-000004	2	AK
0001666102-18-000004	3	AZ
0001666102-18-000004	4	AR
0001666102-18-000004	5	CA
0001666102-18-000004	6	CO
0001666102-18-000004	7	CT
0001666102-18-000004	8	DE
0001666102-18-000004	9	DC
0001666102-18-000004	10	FL
0001666102-18-000004	11	GA
0001666102-18-000004	12	HI
0001666102-18-000004	13	ID
0001666102-18-000004	14	IL
0001666102-18-000004	15	IN
0001666102-18-000004	16	IA
0001666102-18-000004	17	KS
0001666102-18-000004	18	KY
0001666102-18-000004	19	LA
0001666102-18-000004	20	ME
0001666102-18-000004	21	MD
0001666102-18-000004	22	MA
0001666102-18-000004	23	MI
0001666102-18-000004	50	WV
0001743775-18-000006	45	TX
0001743775-18-000006	44	TN
0001743775-18-000006	47	VT
0001743775-18-000006	48	VA
0001743775-18-000006	49	WA
0001743775-18-000006	50	WV
