ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001700351-17-000001	9	DC
0001700351-17-000001	8	DE
0001700351-17-000001	11	GA
0001700351-17-000001	12	GU
0001700351-17-000001	13	HI
0001700351-17-000001	14	ID
0001700351-17-000001	15	IL
0001700351-17-000001	16	IN
0001700351-17-000001	17	IA
0001700351-17-000001	18	KS
0001700351-17-000001	19	KY
0001700351-17-000001	20	LA
0001700351-17-000001	21	ME
0001700351-17-000001	22	MD
0001700351-17-000001	23	MA
0001700351-17-000001	24	MI
0001700351-17-000001	25	MN
0001700351-17-000001	26	MS
0001700351-17-000001	27	MO
0001700351-17-000001	28	MT
0001700351-17-000001	29	NE
0001700351-17-000001	30	NV
0001700351-17-000001	31	NH
0001700351-17-000001	32	NJ
0001700351-17-000001	33	NM
0001700351-17-000001	34	NY
0001700351-17-000001	35	NC
0001700351-17-000001	36	ND
0001700351-17-000001	37	OH
0001700351-17-000001	38	OK
0001700351-17-000001	39	OR
0001700351-17-000001	48	VT
0001700351-17-000001	49	VI
0001700351-17-000001	50	VA
0001700351-17-000001	51	WA
0001700351-17-000001	52	WV
0001700351-17-000001	53	WI
0001700351-17-000001	54	WY
0001700351-17-000001	55	B5
0001700351-17-000001	56	1V
0001700351-17-000001	40	PA
0001700351-17-000001	41	PR
0001700351-17-000001	42	RI
0001700351-17-000001	43	SC
0001700351-17-000001	44	SD
0001700351-17-000001	45	TN
0001700351-17-000001	46	TX
0001700351-17-000001	47	UT
0001700351-17-000001	1	AL
0001700351-17-000001	2	AK
0001700351-17-000001	3	AZ
0001700351-17-000001	4	AR
0001700351-17-000001	5	CA
0001700351-17-000001	6	CO
0001700351-17-000001	7	CT
0001700351-17-000001	10	FL
0001669191-17-000039	4	AR
0001669191-17-000039	3	AZ
0001669191-17-000039	6	CO
0001669191-17-000039	7	CT
0001669191-17-000039	8	DE
0001669191-17-000039	9	DC
0001669191-17-000039	10	FL
0001669191-17-000039	11	GA
0001669191-17-000039	12	HI
0001669191-17-000039	13	ID
0001669191-17-000039	14	IL
0001669191-17-000039	15	IN
0001669191-17-000039	16	IA
0001669191-17-000039	17	KS
0001669191-17-000039	18	KY
0001669191-17-000039	19	LA
0001669191-17-000039	20	ME
0001669191-17-000039	21	MD
0001669191-17-000039	22	MA
0001669191-17-000039	23	MI
0001669191-17-000039	24	MN
0001669191-17-000039	25	MS
0001669191-17-000039	26	MO
0001669191-17-000039	27	MT
0001669191-17-000039	28	NE
0001669191-17-000039	29	NV
0001669191-17-000039	30	NH
0001669191-17-000039	31	NJ
0001669191-17-000039	32	NM
0001669191-17-000039	33	NY
0001669191-17-000039	34	NC
0001669191-17-000039	35	ND
0001669191-17-000039	36	OH
0001669191-17-000039	37	OK
0001669191-17-000039	38	OR
0001669191-17-000039	39	PA
0001669191-17-000039	40	RI
0001669191-17-000039	41	SC
0001669191-17-000039	42	SD
0001669191-17-000039	43	TN
0001669191-17-000039	44	TX
0001669191-17-000039	45	UT
0001669191-17-000039	46	VT
0001669191-17-000039	47	VA
0001669191-17-000039	48	WA
0001669191-17-000039	49	WV
0001669191-17-000039	50	WI
0001669191-17-000039	51	WY
0001669191-17-000039	52	B5
0001669191-17-000039	53	GU
0001669191-17-000039	54	1V
0001669191-17-000039	55	PR
0001669191-17-000039	56	VI
0001669191-17-000039	1	AL
0001669191-17-000039	2	AK
0001669191-17-000039	5	CA
0001702419-17-000001	6	CO
0001702419-17-000001	7	CT
0001702419-17-000001	8	DE
0001702419-17-000001	9	DC
0001702419-17-000001	10	FL
0001702419-17-000001	11	GA
0001702419-17-000001	12	GU
0001702419-17-000001	13	HI
0001702419-17-000001	14	ID
0001702419-17-000001	15	IL
0001702419-17-000001	16	IN
0001702419-17-000001	17	IA
0001702419-17-000001	18	KS
0001702419-17-000001	19	KY
0001702419-17-000001	20	LA
0001702419-17-000001	21	ME
0001702419-17-000001	22	MD
0001702419-17-000001	23	MA
0001702419-17-000001	24	MI
0001702419-17-000001	25	MN
0001702419-17-000001	26	MS
0001702419-17-000001	27	MO
0001702419-17-000001	28	MT
0001702419-17-000001	29	NE
0001702419-17-000001	30	NV
0001702419-17-000001	31	NH
0001702419-17-000001	32	NJ
0001702419-17-000001	33	NM
0001702419-17-000001	34	NY
0001702419-17-000001	35	NC
0001702419-17-000001	36	ND
0001702419-17-000001	37	OH
0001702419-17-000001	38	OK
0001702419-17-000001	39	OR
0001702419-17-000001	40	PA
0001702419-17-000001	41	PR
0001702419-17-000001	42	RI
0001702419-17-000001	43	SC
0001702419-17-000001	44	SD
0001702419-17-000001	45	TN
0001702419-17-000001	46	TX
0001702419-17-000001	47	UT
0001702419-17-000001	48	VT
0001702419-17-000001	49	VI
0001702419-17-000001	50	VA
0001702419-17-000001	51	WA
0001702419-17-000001	52	WV
0001702419-17-000001	53	WI
0001702419-17-000001	54	WY
0001702419-17-000001	55	B5
0001702419-17-000001	56	1V
0001702419-17-000001	1	AL
0001702419-17-000001	2	AK
0001702419-17-000001	3	AZ
0001702419-17-000001	4	AR
0001702419-17-000001	5	CA
0001699630-17-000002	45	TN
0001699630-17-000002	44	SD
0001699630-17-000002	47	UT
0001699630-17-000002	48	VT
0001699630-17-000002	49	VI
0001699630-17-000002	50	VA
0001699630-17-000002	51	WA
0001699630-17-000002	52	WV
0001699630-17-000002	53	WI
0001699630-17-000002	54	WY
0001699630-17-000002	55	B5
0001699630-17-000002	56	1V
0001699630-17-000002	1	AL
0001699630-17-000002	2	AK
0001699630-17-000002	3	AZ
0001699630-17-000002	4	AR
0001699630-17-000002	5	CA
0001699630-17-000002	6	CO
0001699630-17-000002	7	CT
0001699630-17-000002	8	DE
0001699630-17-000002	9	DC
0001699630-17-000002	10	FL
0001699630-17-000002	11	GA
0001699630-17-000002	12	GU
0001699630-17-000002	13	HI
0001699630-17-000002	14	ID
0001699630-17-000002	15	IL
0001699630-17-000002	16	IN
0001699630-17-000002	17	IA
0001699630-17-000002	18	KS
0001699630-17-000002	19	KY
0001699630-17-000002	20	LA
0001699630-17-000002	21	ME
0001699630-17-000002	22	MD
0001699630-17-000002	23	MA
0001699630-17-000002	24	MI
0001699630-17-000002	25	MN
0001699630-17-000002	26	MS
0001699630-17-000002	27	MO
0001699630-17-000002	28	MT
0001699630-17-000002	29	NE
0001699630-17-000002	30	NV
0001699630-17-000002	31	NH
0001699630-17-000002	32	NJ
0001699630-17-000002	33	NM
0001699630-17-000002	34	NY
0001699630-17-000002	35	NC
0001699630-17-000002	36	ND
0001699630-17-000002	37	OH
0001699630-17-000002	38	OK
0001699630-17-000002	39	OR
0001699630-17-000002	40	PA
0001699630-17-000002	41	PR
0001699630-17-000002	42	RI
0001699630-17-000002	43	SC
0001699630-17-000002	46	TX
0001699630-17-000001	45	TN
0001699630-17-000001	46	TX
0001699630-17-000001	47	UT
0001699630-17-000001	48	VT
0001699630-17-000001	49	VI
0001699630-17-000001	50	VA
0001699630-17-000001	51	WA
0001699630-17-000001	52	WV
0001699630-17-000001	53	WI
0001699630-17-000001	54	WY
0001699630-17-000001	55	B5
0001699630-17-000001	56	1V
0001699630-17-000001	1	AL
0001699630-17-000001	2	AK
0001699630-17-000001	3	AZ
0001699630-17-000001	4	AR
0001699630-17-000001	5	CA
0001699630-17-000001	6	CO
0001699630-17-000001	7	CT
0001699630-17-000001	8	DE
0001699630-17-000001	9	DC
0001699630-17-000001	10	FL
0001699630-17-000001	11	GA
0001699630-17-000001	12	GU
0001699630-17-000001	13	HI
0001699630-17-000001	14	ID
0001699630-17-000001	15	IL
0001699630-17-000001	16	IN
0001699630-17-000001	17	IA
0001699630-17-000001	18	KS
0001699630-17-000001	19	KY
0001699630-17-000001	20	LA
0001699630-17-000001	21	ME
0001699630-17-000001	22	MD
0001699630-17-000001	23	MA
0001699630-17-000001	24	MI
0001699630-17-000001	25	MN
0001699630-17-000001	26	MS
0001699630-17-000001	27	MO
0001699630-17-000001	28	MT
0001699630-17-000001	29	NE
0001699630-17-000001	30	NV
0001699630-17-000001	31	NH
0001699630-17-000001	32	NJ
0001699630-17-000001	33	NM
0001699630-17-000001	34	NY
0001699630-17-000001	35	NC
0001699630-17-000001	36	ND
0001699630-17-000001	37	OH
0001699630-17-000001	38	OK
0001699630-17-000001	39	OR
0001699630-17-000001	40	PA
0001699630-17-000001	41	PR
0001699630-17-000001	42	RI
0001699630-17-000001	43	SC
0001699630-17-000001	44	SD
0001670254-17-000049	20	ME
0001670254-17-000049	19	LA
0001670254-17-000049	22	MA
0001670254-17-000049	23	MI
0001670254-17-000049	24	MN
0001670254-17-000049	25	MS
0001670254-17-000049	26	MO
0001670254-17-000049	27	MT
0001670254-17-000049	28	NE
0001670254-17-000049	29	NV
0001670254-17-000049	30	NH
0001670254-17-000049	31	NJ
0001670254-17-000049	32	NM
0001670254-17-000049	33	NY
0001670254-17-000049	34	NC
0001670254-17-000049	35	ND
0001670254-17-000049	36	OH
0001670254-17-000049	37	OK
0001670254-17-000049	38	OR
0001670254-17-000049	39	PA
0001670254-17-000049	40	RI
0001670254-17-000049	41	SC
0001670254-17-000049	42	SD
0001670254-17-000049	43	TN
0001670254-17-000049	44	TX
0001670254-17-000049	45	UT
0001670254-17-000049	46	VT
0001670254-17-000049	47	VA
0001670254-17-000049	48	WA
0001670254-17-000049	49	WV
0001670254-17-000049	50	WI
0001670254-17-000049	51	WY
0001670254-17-000049	52	B5
0001670254-17-000049	53	GU
0001670254-17-000049	54	PR
0001670254-17-000049	55	VI
0001670254-17-000049	56	1V
0001670254-17-000049	1	AL
0001670254-17-000049	2	AK
0001670254-17-000049	3	AZ
0001670254-17-000049	4	AR
0001670254-17-000049	5	CA
0001670254-17-000049	6	CO
0001670254-17-000049	7	CT
0001670254-17-000049	8	DE
0001670254-17-000049	9	DC
0001670254-17-000049	10	FL
0001670254-17-000049	11	GA
0001670254-17-000049	12	HI
0001670254-17-000049	13	ID
0001670254-17-000049	14	IL
0001670254-17-000049	15	IN
0001670254-17-000049	16	IA
0001670254-17-000049	17	KS
0001670254-17-000049	18	KY
0001670254-17-000049	21	MD
0001669191-17-000037	14	IL
0001669191-17-000037	15	IN
0001669191-17-000037	16	IA
0001669191-17-000037	17	KS
0001669191-17-000037	18	KY
0001669191-17-000037	19	LA
0001669191-17-000037	20	ME
0001669191-17-000037	21	MD
0001669191-17-000037	22	MA
0001669191-17-000037	23	MI
0001669191-17-000037	24	MN
0001669191-17-000037	25	MS
0001669191-17-000037	26	MO
0001669191-17-000037	27	MT
0001669191-17-000037	28	NE
0001669191-17-000037	29	NV
0001669191-17-000037	30	NH
0001669191-17-000037	31	NJ
0001669191-17-000037	32	NM
0001669191-17-000037	33	NY
0001669191-17-000037	34	NC
0001669191-17-000037	35	ND
0001669191-17-000037	36	OH
0001669191-17-000037	37	OK
0001669191-17-000037	38	OR
0001669191-17-000037	39	PA
0001669191-17-000037	40	RI
0001669191-17-000037	41	SC
0001669191-17-000037	42	SD
0001669191-17-000037	43	TN
0001669191-17-000037	44	TX
0001669191-17-000037	45	UT
0001669191-17-000037	46	VT
0001669191-17-000037	47	VA
0001669191-17-000037	48	WA
0001669191-17-000037	49	WV
0001669191-17-000037	50	WI
0001669191-17-000037	51	WY
0001669191-17-000037	52	B5
0001669191-17-000037	53	GU
0001669191-17-000037	54	1V
0001669191-17-000037	55	PR
0001669191-17-000037	56	VI
0001669191-17-000037	1	AL
0001669191-17-000037	2	AK
0001669191-17-000037	3	AZ
0001669191-17-000037	4	AR
0001669191-17-000037	5	CA
0001669191-17-000037	6	CO
0001669191-17-000037	7	CT
0001669191-17-000037	8	DE
0001669191-17-000037	9	DC
0001669191-17-000037	10	FL
0001669191-17-000037	11	GA
0001669191-17-000037	12	HI
0001669191-17-000037	13	ID
0001665160-17-000102	45	TX
0001665160-17-000102	44	TN
0001665160-17-000102	47	VT
0001665160-17-000102	51	WI
0001665160-17-000102	52	WY
0001665160-17-000102	48	VA
0001665160-17-000102	49	WA
0001665160-17-000102	50	WV
0001665160-17-000102	1	AL
0001665160-17-000102	2	AK
0001665160-17-000102	3	AZ
0001665160-17-000102	4	AR
0001665160-17-000102	5	CA
0001665160-17-000102	6	CO
0001665160-17-000102	7	CT
0001665160-17-000102	8	DC
0001665160-17-000102	9	DE
0001665160-17-000102	10	FL
0001665160-17-000102	11	GA
0001665160-17-000102	12	HI
0001665160-17-000102	13	ID
0001665160-17-000102	14	IL
0001665160-17-000102	15	IN
