ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-16-000129	2	AK
0001665160-16-000129	1	AL
0001665160-16-000129	4	AR
0001665160-16-000129	5	CA
0001665160-16-000129	6	CO
0001665160-16-000129	7	CT
0001665160-16-000129	8	DE
0001665160-16-000129	9	DC
0001665160-16-000129	10	FL
0001665160-16-000129	11	GA
0001665160-16-000129	12	HI
0001665160-16-000129	13	ID
0001665160-16-000129	14	IL
0001665160-16-000129	15	IN
0001665160-16-000129	16	IA
0001665160-16-000129	17	KS
0001665160-16-000129	18	KY
0001665160-16-000129	19	LA
0001665160-16-000129	20	ME
0001665160-16-000129	21	MD
0001665160-16-000129	22	MA
0001665160-16-000129	23	MI
0001665160-16-000129	24	MN
0001665160-16-000129	25	MS
0001665160-16-000129	26	MO
0001665160-16-000129	27	MT
0001665160-16-000129	28	NE
0001665160-16-000129	29	NV
0001665160-16-000129	30	NH
0001665160-16-000129	31	NJ
0001665160-16-000129	32	NM
0001665160-16-000129	33	NY
0001665160-16-000129	34	NC
0001665160-16-000129	35	ND
0001665160-16-000129	36	OH
0001665160-16-000129	37	OK
0001665160-16-000129	38	OR
0001665160-16-000129	39	PA
0001665160-16-000129	40	PR
0001665160-16-000129	41	RI
0001665160-16-000129	42	SC
0001665160-16-000129	43	SD
0001665160-16-000129	44	TN
0001665160-16-000129	45	TX
0001665160-16-000129	46	UT
0001665160-16-000129	47	VT
0001665160-16-000129	48	VA
0001665160-16-000129	49	WA
0001665160-16-000129	50	WV
0001665160-16-000129	51	WI
0001665160-16-000129	52	WY
0001665160-16-000129	53	A0
0001665160-16-000129	54	A1
0001665160-16-000129	55	A2
0001665160-16-000129	56	A3
0001665160-16-000129	57	A4
0001665160-16-000129	58	A5
0001665160-16-000129	59	A6
0001665160-16-000129	60	A7
0001665160-16-000129	61	A8
0001665160-16-000129	62	A9
0001665160-16-000129	63	B0
0001665160-16-000129	64	Z4
0001665160-16-000129	3	AZ
0001684715-16-000001	57	A4
0001684715-16-000001	51	WI
0001684715-16-000001	59	A6
0001684715-16-000001	60	A7
0001684715-16-000001	61	A8
0001684715-16-000001	62	A9
0001684715-16-000001	63	B0
0001684715-16-000001	64	Z4
0001684715-16-000001	5	CA
0001684715-16-000001	6	CO
0001684715-16-000001	7	CT
0001684715-16-000001	8	DE
0001684715-16-000001	9	DC
0001684715-16-000001	10	FL
0001684715-16-000001	11	GA
0001684715-16-000001	12	HI
0001684715-16-000001	13	ID
0001684715-16-000001	14	IL
0001684715-16-000001	15	IN
0001684715-16-000001	16	IA
0001684715-16-000001	17	KS
0001684715-16-000001	18	KY
0001684715-16-000001	19	LA
0001684715-16-000001	20	ME
0001684715-16-000001	21	MD
0001684715-16-000001	22	MA
0001684715-16-000001	23	MI
0001684715-16-000001	24	MN
0001684715-16-000001	25	MS
0001684715-16-000001	26	MO
0001684715-16-000001	27	MT
0001684715-16-000001	28	NE
0001684715-16-000001	29	NV
0001684715-16-000001	30	NH
0001684715-16-000001	31	NJ
0001684715-16-000001	32	NM
0001684715-16-000001	33	NY
0001684715-16-000001	34	NC
0001684715-16-000001	35	ND
0001684715-16-000001	36	OH
0001684715-16-000001	37	OK
0001684715-16-000001	52	WY
0001684715-16-000001	53	A0
0001684715-16-000001	54	A1
0001684715-16-000001	55	A2
0001684715-16-000001	56	A3
0001684715-16-000001	38	OR
0001684715-16-000001	39	PA
0001684715-16-000001	40	PR
0001684715-16-000001	41	RI
0001684715-16-000001	42	SC
0001684715-16-000001	43	SD
0001684715-16-000001	44	TN
0001684715-16-000001	45	TX
0001684715-16-000001	46	UT
0001684715-16-000001	47	VT
0001684715-16-000001	48	VA
0001684715-16-000001	1	AL
0001684715-16-000001	2	AK
0001684715-16-000001	3	AZ
0001684715-16-000001	4	AR
0001684715-16-000001	49	WA
0001684715-16-000001	50	WV
0001684715-16-000001	58	A5
0001679413-16-000001	1	AL
0001679413-16-000001	12	HI
0001679413-16-000001	3	AZ
0001679413-16-000001	4	AR
0001679413-16-000001	5	CA
0001679413-16-000001	6	CO
0001679413-16-000001	7	CT
0001679413-16-000001	8	DE
0001679413-16-000001	9	DC
0001679413-16-000001	10	FL
0001679413-16-000001	11	GA
0001679413-16-000001	13	ID
0001679413-16-000001	14	IL
0001679413-16-000001	15	IN
0001679413-16-000001	16	IA
0001679413-16-000001	17	KS
0001679413-16-000001	18	KY
0001679413-16-000001	19	LA
0001679413-16-000001	20	ME
0001679413-16-000001	21	MD
0001679413-16-000001	22	MA
0001679413-16-000001	23	MI
0001679413-16-000001	24	MN
0001679413-16-000001	25	MS
0001679413-16-000001	26	MO
0001679413-16-000001	27	MT
0001679413-16-000001	28	NE
0001679413-16-000001	29	NV
0001679413-16-000001	30	NH
0001679413-16-000001	31	NJ
0001679413-16-000001	32	NM
0001679413-16-000001	33	NY
0001679413-16-000001	34	NC
0001679413-16-000001	35	ND
0001679413-16-000001	36	OH
0001679413-16-000001	37	OK
0001679413-16-000001	38	OR
0001679413-16-000001	39	PA
0001679413-16-000001	40	PR
0001679413-16-000001	41	RI
0001679413-16-000001	42	SC
0001679413-16-000001	43	SD
0001679413-16-000001	44	TN
0001679413-16-000001	45	TX
0001679413-16-000001	46	UT
0001679413-16-000001	47	VT
0001679413-16-000001	48	VA
0001679413-16-000001	49	WA
0001679413-16-000001	50	WV
0001679413-16-000001	51	WI
0001679413-16-000001	52	WY
0001679413-16-000001	53	A0
0001679413-16-000001	54	A1
0001679413-16-000001	55	A2
0001679413-16-000001	56	A3
0001679413-16-000001	57	A4
0001679413-16-000001	58	A5
0001679413-16-000001	59	A6
0001679413-16-000001	60	A7
0001679413-16-000001	61	A8
0001679413-16-000001	62	A9
0001679413-16-000001	63	B0
0001679413-16-000001	64	Z4
0001679413-16-000001	2	AK
0001685706-16-000003	24	MN
0001685706-16-000003	25	MS
0001685706-16-000003	26	MO
0001685706-16-000003	27	MT
0001685706-16-000003	28	NE
0001685706-16-000003	29	NV
0001685706-16-000003	30	NH
0001685706-16-000003	31	NJ
0001685706-16-000003	32	NM
0001685706-16-000003	33	NY
0001685706-16-000003	34	NC
0001685706-16-000003	35	ND
0001685706-16-000003	36	OH
0001685706-16-000003	37	OK
0001685706-16-000003	38	OR
0001685706-16-000003	39	PA
0001685706-16-000003	40	PR
0001685706-16-000003	41	RI
0001685706-16-000003	42	SC
0001685706-16-000003	43	SD
0001685706-16-000003	44	TN
0001685706-16-000003	45	TX
0001685706-16-000003	46	UT
0001685706-16-000003	47	VT
0001685706-16-000003	48	VA
0001685706-16-000003	49	WA
0001685706-16-000003	50	WV
0001685706-16-000003	51	WI
0001685706-16-000003	52	WY
0001685706-16-000003	53	A0
0001685706-16-000003	54	A1
0001685706-16-000003	55	A2
0001685706-16-000003	56	A3
0001685706-16-000003	57	A4
0001685706-16-000003	58	A5
0001685706-16-000003	59	A6
0001685706-16-000003	60	A7
0001685706-16-000003	61	A8
0001685706-16-000003	62	A9
0001685706-16-000003	63	B0
0001685706-16-000003	64	Z4
0001685706-16-000003	1	AL
0001685706-16-000003	2	AK
0001685706-16-000003	3	AZ
0001685706-16-000003	4	AR
0001685706-16-000003	5	CA
0001685706-16-000003	6	CO
0001685706-16-000003	7	CT
0001685706-16-000003	8	DE
0001685706-16-000003	9	DC
0001685706-16-000003	10	FL
0001685706-16-000003	11	GA
0001685706-16-000003	12	HI
0001685706-16-000003	13	ID
0001685706-16-000003	14	IL
0001685706-16-000003	15	IN
0001685706-16-000003	16	IA
0001685706-16-000003	17	KS
0001685706-16-000003	18	KY
0001685706-16-000003	19	LA
0001685706-16-000003	20	ME
0001685706-16-000003	21	MD
0001685706-16-000003	22	MA
0001685706-16-000003	23	MI
0001685706-16-000001	2	AK
0001685706-16-000001	64	Z4
0001685706-16-000001	4	AR
0001685706-16-000001	5	CA
0001685706-16-000001	6	CO
0001685706-16-000001	7	CT
0001685706-16-000001	8	DE
0001685706-16-000001	9	DC
0001685706-16-000001	10	FL
0001685706-16-000001	11	GA
0001685706-16-000001	12	HI
0001685706-16-000001	13	ID
0001685706-16-000001	14	IL
0001685706-16-000001	15	IN
0001685706-16-000001	16	IA
0001685706-16-000001	17	KS
0001685706-16-000001	18	KY
0001685706-16-000001	19	LA
0001685706-16-000001	20	ME
0001685706-16-000001	21	MD
0001685706-16-000001	22	MA
0001685706-16-000001	23	MI
0001685706-16-000001	24	MN
0001685706-16-000001	25	MS
0001685706-16-000001	26	MO
0001685706-16-000001	27	MT
0001685706-16-000001	28	NE
0001685706-16-000001	29	NV
0001685706-16-000001	30	NH
0001685706-16-000001	31	NJ
0001685706-16-000001	32	NM
0001685706-16-000001	33	NY
0001685706-16-000001	34	NC
0001685706-16-000001	35	ND
0001685706-16-000001	36	OH
0001685706-16-000001	37	OK
0001685706-16-000001	38	OR
0001685706-16-000001	39	PA
0001685706-16-000001	40	PR
0001685706-16-000001	41	RI
0001685706-16-000001	42	SC
0001685706-16-000001	43	SD
0001685706-16-000001	44	TN
0001685706-16-000001	45	TX
0001685706-16-000001	46	UT
0001685706-16-000001	47	VT
0001685706-16-000001	48	VA
0001685706-16-000001	49	WA
0001685706-16-000001	50	WV
0001685706-16-000001	51	WI
0001685706-16-000001	1	AL
0001685706-16-000001	52	WY
0001685706-16-000001	53	A0
0001685706-16-000001	54	A1
0001685706-16-000001	55	A2
0001685706-16-000001	56	A3
0001685706-16-000001	57	A4
0001685706-16-000001	58	A5
0001685706-16-000001	59	A6
0001685706-16-000001	60	A7
0001685706-16-000001	61	A8
0001685706-16-000001	62	A9
0001685706-16-000001	63	B0
0001685706-16-000001	3	AZ
0001683142-16-000001	61	A8
0001683142-16-000001	60	A7
0001683142-16-000001	63	B0
0001683142-16-000001	64	Z4
0001683142-16-000001	1	AL
0001683142-16-000001	2	AK
0001683142-16-000001	3	AZ
0001683142-16-000001	4	AR
0001683142-16-000001	5	CA
0001683142-16-000001	6	CO
0001683142-16-000001	7	CT
0001683142-16-000001	8	DE
0001683142-16-000001	9	DC
0001683142-16-000001	10	FL
0001683142-16-000001	11	GA
0001683142-16-000001	12	HI
0001683142-16-000001	13	ID
0001683142-16-000001	14	IL
0001683142-16-000001	15	IN
0001683142-16-000001	16	IA
0001683142-16-000001	17	KS
0001683142-16-000001	18	KY
0001683142-16-000001	19	LA
0001683142-16-000001	20	ME
0001683142-16-000001	21	MD
0001683142-16-000001	22	MA
0001683142-16-000001	23	MI
0001683142-16-000001	24	MN
0001683142-16-000001	25	MS
0001683142-16-000001	26	MO
0001683142-16-000001	27	MT
0001683142-16-000001	28	NE
0001683142-16-000001	29	NV
0001683142-16-000001	30	NH
0001683142-16-000001	31	NJ
0001683142-16-000001	32	NM
0001683142-16-000001	33	NY
0001683142-16-000001	34	NC
0001683142-16-000001	35	ND
0001683142-16-000001	36	OH
0001683142-16-000001	37	OK
0001683142-16-000001	38	OR
0001683142-16-000001	39	PA
0001683142-16-000001	40	PR
0001683142-16-000001	41	RI
0001683142-16-000001	42	SC
0001683142-16-000001	43	SD
0001683142-16-000001	44	TN
0001683142-16-000001	45	TX
0001683142-16-000001	46	UT
0001683142-16-000001	47	VT
0001683142-16-000001	48	VA
0001683142-16-000001	49	WA
0001683142-16-000001	50	WV
0001683142-16-000001	51	WI
0001683142-16-000001	52	WY
0001683142-16-000001	53	A0
0001683142-16-000001	54	A1
0001683142-16-000001	55	A2
0001683142-16-000001	56	A3
0001683142-16-000001	57	A4
0001683142-16-000001	58	A5
0001683142-16-000001	59	A6
0001683142-16-000001	62	A9
0001680454-16-000004	38	OR
0001680454-16-000004	39	PA
0001680454-16-000004	40	PR
0001680454-16-000004	1	AL
