ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-17-000723	50	WV
0001665160-17-000723	49	WA
0001665160-17-000723	52	WY
0001665160-17-000723	35	ND
0001665160-17-000723	36	OH
0001665160-17-000723	37	OK
0001665160-17-000723	38	OR
0001665160-17-000723	39	PA
0001665160-17-000723	16	IA
0001665160-17-000723	17	KS
0001665160-17-000723	18	KY
0001665160-17-000723	19	LA
0001665160-17-000723	20	ME
0001665160-17-000723	21	MD
0001665160-17-000723	22	MA
0001665160-17-000723	23	MI
0001665160-17-000723	24	MN
0001665160-17-000723	25	MS
0001665160-17-000723	26	MO
0001665160-17-000723	27	MT
0001665160-17-000723	28	NE
0001665160-17-000723	29	NV
0001665160-17-000723	30	NH
0001665160-17-000723	31	NJ
0001665160-17-000723	32	NM
0001665160-17-000723	33	NY
0001665160-17-000723	34	NC
0001665160-17-000723	1	AL
0001665160-17-000723	2	AK
0001665160-17-000723	3	AZ
0001665160-17-000723	4	AR
0001665160-17-000723	5	CA
0001665160-17-000723	6	CO
0001665160-17-000723	7	CT
0001665160-17-000723	8	DC
0001665160-17-000723	9	DE
0001665160-17-000723	10	FL
0001665160-17-000723	11	GA
0001665160-17-000723	12	HI
0001665160-17-000723	13	ID
0001665160-17-000723	14	IL
0001665160-17-000723	15	IN
0001665160-17-000723	40	PR
0001665160-17-000723	41	RI
0001665160-17-000723	42	SC
0001665160-17-000723	43	SD
0001665160-17-000723	44	TN
0001665160-17-000723	45	TX
0001665160-17-000723	46	UT
0001665160-17-000723	47	VT
0001665160-17-000723	48	VA
0001665160-17-000723	51	WI
0001665160-17-000720	1	AL
0001665160-17-000720	52	WY
0001665160-17-000720	3	AZ
0001665160-17-000720	4	AR
0001665160-17-000720	5	CA
0001665160-17-000720	6	CO
0001665160-17-000720	7	CT
0001665160-17-000720	8	DC
0001665160-17-000720	9	DE
0001665160-17-000720	10	FL
0001665160-17-000720	11	GA
0001665160-17-000720	12	HI
0001665160-17-000720	23	MI
0001665160-17-000720	24	MN
0001665160-17-000720	25	MS
0001665160-17-000720	26	MO
0001665160-17-000720	27	MT
0001665160-17-000720	28	NE
0001665160-17-000720	29	NV
0001665160-17-000720	30	NH
0001665160-17-000720	31	NJ
0001665160-17-000720	32	NM
0001665160-17-000720	33	NY
0001665160-17-000720	34	NC
0001665160-17-000720	35	ND
0001665160-17-000720	36	OH
0001665160-17-000720	37	OK
0001665160-17-000720	38	OR
0001665160-17-000720	39	PA
0001665160-17-000720	40	PR
0001665160-17-000720	41	RI
