ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001676570-16-000004	26	MO
0001676570-16-000004	59	A6
0001676570-16-000004	28	NE
0001676570-16-000004	29	NV
0001676570-16-000004	30	NH
0001676570-16-000004	31	NJ
0001676570-16-000004	32	NM
0001676570-16-000004	33	NY
0001676570-16-000004	34	NC
0001676570-16-000004	60	A7
0001676570-16-000004	61	A8
0001676570-16-000004	1	AL
0001676570-16-000004	2	AK
0001676570-16-000004	3	AZ
0001676570-16-000004	4	AR
0001676570-16-000004	5	CA
0001676570-16-000004	6	CO
0001676570-16-000004	7	CT
0001676570-16-000004	8	DE
0001676570-16-000004	9	DC
0001676570-16-000004	10	FL
0001676570-16-000004	11	GA
0001676570-16-000004	12	HI
0001676570-16-000004	13	ID
0001676570-16-000004	14	IL
0001676570-16-000004	15	IN
0001676570-16-000004	16	IA
0001676570-16-000004	17	KS
0001676570-16-000004	18	KY
0001676570-16-000004	19	LA
0001676570-16-000004	20	ME
0001676570-16-000004	21	MD
0001676570-16-000004	22	MA
0001676570-16-000004	23	MI
0001676570-16-000004	24	MN
0001676570-16-000004	25	MS
0001676570-16-000004	62	A9
0001676570-16-000004	63	B0
0001676570-16-000004	64	Z4
0001676570-16-000004	35	ND
0001676570-16-000004	36	OH
0001676570-16-000004	37	OK
0001676570-16-000004	38	OR
0001676570-16-000004	39	PA
0001676570-16-000004	40	PR
0001676570-16-000004	41	RI
0001676570-16-000004	42	SC
0001676570-16-000004	43	SD
0001676570-16-000004	44	TN
0001676570-16-000004	45	TX
0001676570-16-000004	46	UT
0001676570-16-000004	47	VT
0001676570-16-000004	48	VA
0001676570-16-000004	49	WA
0001676570-16-000004	50	WV
0001676570-16-000004	51	WI
0001676570-16-000004	52	WY
0001676570-16-000004	53	A0
0001676570-16-000004	54	A1
0001676570-16-000004	55	A2
0001676570-16-000004	56	A3
0001676570-16-000004	57	A4
0001676570-16-000004	58	A5
0001676570-16-000004	27	MT
0001676480-16-000001	53	A0
0001676480-16-000001	54	A1
0001676480-16-000001	55	A2
0001676480-16-000001	56	A3
0001676480-16-000001	57	A4
0001676480-16-000001	58	A5
0001676480-16-000001	59	A6
0001676480-16-000001	60	A7
0001676480-16-000001	61	A8
