ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-17-000251	22	MA
0001665160-17-000251	52	WY
0001665160-17-000251	24	MN
0001665160-17-000251	25	MS
0001665160-17-000251	26	MO
0001665160-17-000251	27	MT
0001665160-17-000251	28	NE
0001665160-17-000251	29	NV
0001665160-17-000251	30	NH
0001665160-17-000251	31	NJ
0001665160-17-000251	32	NM
0001665160-17-000251	33	NY
0001665160-17-000251	34	NC
0001665160-17-000251	35	ND
0001665160-17-000251	36	OH
0001665160-17-000251	37	OK
0001665160-17-000251	38	OR
0001665160-17-000251	39	PA
0001665160-17-000251	40	PR
0001665160-17-000251	41	RI
0001665160-17-000251	42	SC
0001665160-17-000251	1	AL
0001665160-17-000251	2	AK
0001665160-17-000251	3	AZ
0001665160-17-000251	4	AR
0001665160-17-000251	5	CA
0001665160-17-000251	6	CO
0001665160-17-000251	7	CT
0001665160-17-000251	8	DC
0001665160-17-000251	9	DE
0001665160-17-000251	10	FL
0001665160-17-000251	11	GA
0001665160-17-000251	12	HI
0001665160-17-000251	13	ID
0001665160-17-000251	14	IL
0001665160-17-000251	15	IN
0001665160-17-000251	16	IA
0001665160-17-000251	17	KS
0001665160-17-000251	18	KY
0001665160-17-000251	19	LA
0001665160-17-000251	20	ME
0001665160-17-000251	21	MD
0001665160-17-000251	43	SD
0001665160-17-000251	44	TN
0001665160-17-000251	45	TX
0001665160-17-000251	46	UT
0001665160-17-000251	47	VT
0001665160-17-000251	48	VA
0001665160-17-000251	49	WA
0001665160-17-000251	50	WV
0001665160-17-000251	51	WI
0001665160-17-000251	23	MI
0001665160-17-000246	48	VA
0001665160-17-000246	49	WA
0001665160-17-000246	50	WV
0001665160-17-000246	51	WI
0001665160-17-000246	52	WY
0001665160-17-000246	1	AL
0001665160-17-000246	2	AK
0001665160-17-000246	3	AZ
0001665160-17-000246	4	AR
0001665160-17-000246	5	CA
0001665160-17-000246	6	CO
0001665160-17-000246	7	CT
0001665160-17-000246	8	DE
0001665160-17-000246	9	DC
0001665160-17-000246	10	FL
0001665160-17-000246	11	GA
0001665160-17-000246	12	HI
0001665160-17-000246	13	ID
0001665160-17-000246	14	IL
0001665160-17-000246	15	IN
0001665160-17-000246	16	IA
0001665160-17-000246	17	KS
0001665160-17-000246	18	KY
0001665160-17-000246	19	LA
0001665160-17-000246	20	ME
0001665160-17-000246	21	MD
0001665160-17-000246	22	MA
0001665160-17-000246	23	MI
0001665160-17-000246	24	MN
0001665160-17-000246	25	MS
0001665160-17-000246	26	MO
0001665160-17-000246	27	MT
0001665160-17-000246	28	NE
0001665160-17-000246	29	NV
0001665160-17-000246	30	NH
0001665160-17-000246	31	NJ
0001665160-17-000246	32	NM
0001665160-17-000246	33	NY
0001665160-17-000246	34	NC
0001665160-17-000246	35	ND
0001665160-17-000246	36	OH
0001665160-17-000246	37	OK
0001665160-17-000246	38	OR
0001665160-17-000246	39	PA
0001665160-17-000246	40	PR
0001665160-17-000246	41	RI
0001665160-17-000246	42	SC
0001665160-17-000246	43	SD
0001665160-17-000246	44	TN
0001665160-17-000246	45	TX
0001665160-17-000246	46	UT
0001665160-17-000246	47	VT
0001708142-17-000002	16	IN
0001708142-17-000002	15	IL
0001708142-17-000002	18	KS
0001708142-17-000002	19	KY
0001708142-17-000002	20	LA
0001708142-17-000002	21	ME
0001708142-17-000002	22	MD
0001708142-17-000002	23	MA
0001708142-17-000002	24	MI
0001708142-17-000002	25	MN
0001708142-17-000002	26	MS
0001708142-17-000002	27	MO
0001708142-17-000002	28	MT
0001708142-17-000002	29	NE
0001708142-17-000002	30	NV
0001708142-17-000002	31	NH
0001708142-17-000002	32	NJ
0001708142-17-000002	33	NM
0001708142-17-000002	34	NY
0001708142-17-000002	35	NC
0001708142-17-000002	36	ND
0001708142-17-000002	37	OH
0001708142-17-000002	38	OK
0001708142-17-000002	39	OR
0001708142-17-000002	40	PA
0001708142-17-000002	41	PR
0001708142-17-000002	42	RI
0001708142-17-000002	43	SC
