,CIK,FILING_DATE,SUBMISSION_TYPE,OFFERINGAMOUNT,PROGRESSUPDATE,NATUREOFAMENDMENT,MAXIMUMOFFERINGAMOUNT,CURRENTEMPLOYEES,TOTALASSETMOSTRECENTFISCALYEAR,TOTALASSETPRIORFISCALYEAR,CASHEQUIMOSTRECENTFISCALYEAR,CASHEQUIPRIORFISCALYEAR,ACTRECEIVEDRECENTFISCALYEAR,ACTRECEIVEDPRIORFISCALYEAR,SHORTTERMDEBTMRECENTFISCALYEAR,SHORTTERMDEBTPRIORFISCALYEAR,LONGTERMDEBTRECENTFISCALYEAR,LONGTERMDEBTPRIORFISCALYEAR,NETINCOMEMOSTRECENTFISCALYEAR,NETINCOMEPRIORFISCALYEAR,Form_C_Number,Funding_Success
910,1709126,2017-06-12,C,25000.0,,,750000.0,2.0,121795.0,121795.0,121795.0,91390.0,0.0,0.0,0.0,0.0,304253.0,0.0,0.0,0.0,1,0
911,1708725,2017-06-12,C,25000.0,,,1000000.0,5.0,6075.0,0.0,1000.0,0.0,5075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
913,1706425,2017-06-12,C,300000.0,,Update perks and update contract.,1000000.0,1.0,4757.0,0.0,4757.0,0.0,0.0,0.0,89297.0,0.0,0.0,0.0,-84561.0,0.0,1,0
915,1641307,2017-06-13,C,250000.0,,,1000000.0,7.0,448357.0,233343.0,5684.0,481.0,16875.0,8136.0,433098.0,114239.0,1536274.0,644513.0,-676746.0,-382964.0,1,1
917,1692073,2017-06-14,C,25000.0,,,1000000.0,10.0,268526.0,0.0,0.0,0.0,3123.59,0.0,306788.01,0.0,0.0,0.0,-63262.09,0.0,1,1
918,1703197,2017-06-14,C,25000.0,,,1000000.0,0.0,10049.0,4123.0,6417.0,2743.0,1494.0,843.0,167147.0,69840.0,0.0,0.0,-91336.0,39601.0,1,0
921,1708099,2017-06-15,C,298000.0,,,328000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
926,1706937,2017-06-19,C,25000.0,,,750000.0,14.0,189427.0,183645.0,80091.0,117014.0,83880.0,53008.0,34522.0,30907.0,944822.0,435099.0,-507559.0,-240466.0,1,1
929,1707572,2017-06-19,C,100000.0,,Adjusted the minimum raise amount in updated offering document,1000000.0,2.0,6275.0,1645.0,3775.0,1645.0,0.0,0.0,14321.0,15545.0,30000.0,0.0,-79146.0,-25200.0,1,1
2071,1707572,2018-03-09,C,100000.0,,,963000.0,2.0,64130.0,0.0,59413.0,0.0,467.0,0.0,0.0,0.0,28600.0,0.0,-88470.0,0.0,2,1
931,1659442,2017-06-19,C,10000.0,,"New CEO, former CEO sold his shares to Darell Austin;",100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2857,1659442,2018-06-22,C,10000.0,,,107000.0,3.0,275187.0,6275.0,32502.0,3775.0,0.0,0.0,20.0,14321.0,40050.0,44321.0,-92926.0,-79146.0,2,1
939,1707359,2017-06-21,C,250000.0,,,1000000.0,17.0,1281020.0,121042.0,661780.0,89042.0,10441.0,0.0,470242.0,0.0,0.0,0.0,-895180.0,-13000.0,1,1
2990,1707359,2018-07-13,C,10000.0,,The company is extending the length of their campaign.,107000.0,3.0,345148.95,324945.28,367.57,1999.9,316369.45,294533.45,18371.35,23410.03,31100.0,12700.0,26263.28,21661.93,2,1
4358,1707359,2019-03-25,C,100000.0,,,800000.0,16.0,1320844.0,740455.0,287036.0,193043.0,89549.0,57084.0,1205864.0,624140.0,725000.0,500000.0,-908863.0,-2129494.0,3,0
945,1691935,2017-06-22,C,50000.0,,,100000.0,11.0,417432.74,78838.96,11612.13,9943.34,0.0,0.0,153197.61,25000.0,4000.0,4000.0,-238327.38,-255908.41,1,1
947,1396156,2017-06-22,C,9999.25,,,1000000.0,30.0,3591585.0,1634234.0,220022.0,507735.0,1404864.0,476827.0,1535780.0,331709.0,2076708.0,670188.0,-2117909.0,-329064.0,1,0
952,1649519,2017-06-23,C,40000.0,,,107000.0,1.0,38296.0,78840.0,18372.0,78840.0,4764.0,0.0,2777.0,2953.0,20000.0,0.0,-60368.0,-89113.0,1,1
955,1707005,2017-06-23,C,25000.0,,,1000000.0,3.0,5222.0,0.0,5222.0,0.0,0.0,0.0,4553.0,0.0,0.0,0.0,-43957.0,0.0,1,0
959,1708219,2017-06-27,C,250000.0,,,1000000.0,4.0,44170.0,37523.0,44125.0,37523.0,45.0,0.0,0.0,0.0,0.0,0.0,-65.0,-124999.0,1,0
960,1703948,2017-06-27,C,100000.0,,,1000000.0,7.0,1881418.0,2335583.0,201733.0,169769.0,402834.0,537908.0,337621.0,536323.0,2325302.0,1336080.0,-1178113.0,347613.0,1,0
5072,1703948,2019-06-14,C,50000.0,,,1070000.0,6.0,313342.0,144762.0,62972.0,0.0,5528.0,0.0,683536.0,164992.0,2279.0,0.0,-352243.0,-20230.0,2,1
962,1703018,2017-06-27,C,100000.0,,,1000000.0,100.0,3160965.0,1906959.0,72166.0,50258.0,0.0,0.0,144560.0,103274.0,2772526.0,1940744.0,39344.0,-255035.0,1,1
963,1710459,2017-06-28,C,10000.0,,,500000.0,0.0,27627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26627.0,0.0,0.0,0.0,1,1
1846,1710459,2018-01-23,C,10000.0,,,100000.0,1.0,27627.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,26627.0,0.0,0.0,0.0,2,0
965,1708461,2017-06-28,C,25000.0,,,1000000.0,8.0,52955.0,19350.0,47355.0,19350.0,0.0,0.0,379203.0,156250.0,738519.0,97065.0,-830802.0,-234065.0,1,0
967,1709507,2017-06-28,C,20000.0,,,100000.0,2.0,12461.0,35873.0,3877.0,27303.0,0.0,0.0,0.0,0.0,92150.0,63799.0,-102832.0,-48127.0,1,0
968,1605652,2017-06-28,C,50000.0,,Extended campaign,1000000.0,14.0,1927561.0,1721592.0,84883.0,138463.0,82678.0,55333.0,704838.0,0.0,0.0,0.0,-2559870.0,-2805350.0,1,0
969,1708177,2017-06-28,C,50000.0,,,1000000.0,5.0,143032.0,1083.0,25810.0,1083.0,0.0,0.0,0.0,0.0,54496.0,0.0,-129760.0,1083.0,1,0
983,1683052,2017-06-29,C,10000.0,,,500000.0,8.0,101196.0,0.0,0.0,0.0,100.0,0.0,351072.0,0.0,0.0,0.0,-293773.0,0.0,1,1
984,1710400,2017-06-29,C,1000000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72027.0,7879.0,0.0,0.0,0.0,0.0,1,1
1312,1710400,2017-09-28,C,50000.0,,,1000000.0,5.0,143032.0,1083.0,25810.0,1083.0,0.0,0.0,0.0,0.0,54496.0,0.0,-129760.0,1083.0,2,1
985,1710284,2017-06-29,C,300000.0,,,1000000.0,2.0,2181.0,3268.0,2181.0,3268.0,0.0,0.0,0.0,0.0,0.0,0.0,-11587.0,-1934.0,1,0
986,1708189,2017-06-29,C,200000.0,,,500000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
992,1708179,2017-06-29,C,150000.0,,,200000.0,4.0,52519.0,0.0,3049.0,0.0,16458.0,0.0,35512.0,0.0,0.0,0.0,-2993.0,0.0,1,1
993,1708142,2017-06-30,C,50011.0,,,400008.0,3.0,131980.0,68035.0,3380.0,1776.76,7699.0,0.0,0.0,0.0,0.0,0.0,-25868.0,-26319.0,1,1
4152,1708142,2019-02-12,C,50008.07,,,534992.52,7.0,621257.0,131980.0,221498.0,3380.0,30312.0,7699.0,24964.0,20739.0,54929.0,0.0,-32521.0,-25868.0,2,1
995,1677504,2017-06-30,C,10000.0,,,1000000.0,11.0,1937.0,2219.0,947.0,2219.0,0.0,0.0,0.0,0.0,74485.0,8697.0,-636241.0,-276138.0,1,1
1008,1656858,2017-07-06,C,35000.0,,Updated disclosures in offering statement,100000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-161555.0,0.0,1,0
1015,1707356,2017-07-10,C,150000.0,,,1000000.0,4.0,23686.0,9383.0,415.0,478.0,0.0,0.0,5593.0,0.0,63305.0,0.0,-69692.0,-7306.0,1,1
1019,1706031,2017-07-11,C,300000.0,,,500000.0,2.0,99988.0,0.0,40654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1021,1710397,2017-07-11,C,9999.99,,,249999.75,2.0,84911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71839.0,0.0,1,0
1022,1673558,2017-07-11,C,58000.0,,,107000.0,4.0,20410.2,39259.52,16411.08,38455.07,417.19,190.13,5106.0,1375.39,64232.74,89351.11,6229.72,71962.95,1,0
1023,1709244,2017-07-11,C,9999.0,,,1000000.0,1.0,16187.0,0.0,16187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11087.0,0.0,1,0
3370,1709244,2018-09-19,C,10000.0,,,1070000.0,2.0,776569.0,16187.0,637291.0,16187.0,0.0,0.0,50958.0,5000.0,0.0,0.0,-201704.0,11087.0,2,1
1024,1711471,2017-07-11,C,50000.0,,,107000.0,0.0,3000.0,10000.0,0.0,10000.0,0.0,0.0,53000.0,0.0,0.0,0.0,-60000.0,11000.0,1,0
1025,1470705,2017-07-12,C,100000.0,,,1000000.0,0.0,329742.0,409150.0,2961.0,4906.0,23308.0,0.0,221274.0,122653.0,0.0,0.0,-282305.0,-292292.0,1,1
1766,1470705,2018-01-03,C,10000.0,,,308000.0,1.0,329742.0,409150.0,2961.0,4906.0,23308.0,0.0,221274.0,122653.0,0.0,0.0,-419129.0,-379592.0,2,1
3296,1470705,2018-09-05,C,10000.0,,,535000.0,1.0,536491.0,329742.0,29417.0,2961.0,69908.0,23308.0,520704.0,221274.0,0.0,0.0,-415581.0,-455849.0,3,1
4022,1470705,2019-01-23,C,50000.0,,,255000.0,1.0,536491.0,329742.0,29417.0,2961.0,69908.0,23308.0,520704.0,221274.0,0.0,0.0,-415581.0,-419129.0,4,0
1031,1711484,2017-07-12,C,10000.0,,Update to provide additional tax data and specifics regarding future filings.,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7302.29,0.0,0.0,0.0,-7302.29,-31000.0,1,0
1032,1588244,2017-07-13,C,25000.0,,,1000000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1033,1711652,2017-07-13,C,50000.0,,,1000000.0,3.0,473192.0,420509.0,102536.0,75322.0,742.0,5544.0,466240.0,317060.0,286646.0,283363.0,-131316.0,-153164.0,1,1
2695,1711652,2018-05-24,C,10000.0,,,307965.0,3.0,138617.0,0.0,110154.0,0.0,13755.0,0.0,75846.0,0.0,0.0,0.0,-161106.0,0.0,2,1
1044,1707361,2017-07-17,C,50000.0,"The Issuer raised approximately $89,552 during the offering period.  Payments are still being processed; final number is yet to be determined.",,500000.0,2.0,816.0,15150.0,816.0,15150.0,0.0,0.0,6168.0,572.0,0.0,0.0,-25066.0,14428.0,1,1
1048,1706977,2017-07-18,C,25000.0,,,1000000.0,12.0,9233.0,79104.0,8985.0,78391.0,0.0,0.0,122205.0,25672.0,15000.0,85000.0,0.0,0.0,1,0
1049,1710938,2017-07-19,C,50000.0,,,100000.0,6.0,157822.65,0.0,4054.59,0.0,3026.0,0.0,0.0,0.0,0.0,0.0,-239177.35,0.0,1,1
1050,1711429,2017-07-19,C,50000.0,,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1052,1710903,2017-07-19,C,25000.0,,,107000.0,4.0,722218.0,66425.0,141418.0,66425.0,0.0,0.0,94439.0,10000.0,3015000.0,300000.0,-2475096.0,-660795.0,1,0
1192,1710903,2017-08-24,C,25000.0,,,428000.0,4.0,722218.0,66425.0,141418.0,66425.0,0.0,0.0,94439.0,10000.0,3015000.0,300000.0,-2475096.0,-660795.0,2,1
1054,1709539,2017-07-20,C,150000.0,,,1000000.0,3.0,556046.0,567961.0,5484.0,12041.0,0.0,0.0,41287.0,24000.0,510750.0,563704.0,19251.0,-6293.0,1,1
4066,1709539,2019-01-30,C,9999.22,,,534999.04,4.0,956899.0,400496.0,662576.0,223640.0,3876.0,4138.0,0.0,0.0,0.0,0.0,-734563.0,-534910.0,2,1
1055,1668986,2017-07-20,C,10000.0,,,100000.0,11.0,394375.0,217741.0,233640.0,76624.0,4138.0,7797.0,55368.0,702529.0,0.0,0.0,-424214.0,-434788.0,1,0
1057,1701787,2017-07-21,C,10000.0,,,100000.0,3.0,8122.0,79.0,8122.0,79.0,0.0,0.0,0.0,0.0,64000.0,0.0,-152576.0,-211220.0,1,0
1058,1711575,2017-07-21,C,10000.0,,,107000.0,3.0,54413.23,0.0,46413.23,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,-154847.27,0.0,1,0
3577,1711575,2018-10-29,C,10000.0,,,107000.0,3.0,186930.75,54413.23,178930.75,46413.23,0.0,0.0,4598.5,25000.0,55800.0,0.0,-426374.98,-154847.27,2,1
1061,1701373,2017-07-24,C,9999.6,,,99999.9,9.0,2611.56,602.54,2611.56,602.54,0.0,0.0,0.0,0.0,250000.0,0.0,-268700.98,-921.23,1,1
1062,1712427,2017-07-25,C,25000.0,,,100000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,0.0,0.0,0.0,1,0
2030,1712427,2018-03-02,C,10000.0,,,107000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26000.0,0.0,-500.0,0.0,2,0
1064,1707355,2017-07-26,C,100000.0,,,500000.0,3.0,202207.0,0.0,111591.0,0.0,0.0,0.0,6126.0,0.0,202000.0,0.0,-7919.0,0.0,1,1
1065,1689103,2017-07-26,C,10000.0,,,107000.0,3.0,500.0,0.0,500.0,0.0,0.0,0.0,44391.0,0.0,0.0,0.0,-43891.0,0.0,1,1
1066,1712494,2017-07-26,C,10000.0,,,107000.0,9.0,693481.4,651582.85,86416.91,164471.16,0.0,0.0,2175.94,27915.92,0.0,0.0,-1839670.11,-514589.14,1,0
1068,1710332,2017-07-26,C,25000.0,,,1000000.0,5.0,1246901.0,1033136.0,817297.0,803906.0,0.0,0.0,1185060.0,961835.0,272330.0,0.0,0.0,63045.0,1,0
1827,1710332,2018-01-19,C,25000.32,,,446805.7,4.0,1246901.0,1033136.0,817297.0,803906.0,0.0,0.0,1185060.0,961835.0,272330.0,0.0,-309211.0,63045.0,2,1
1070,1660948,2017-07-27,C,9998.94,,,106998.36,1.0,68.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1587,1660948,2017-11-21,C,9998.94,,,96005.7,1.0,68.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
2174,1660948,2018-04-04,C,50000.0,,,96008.0,1.0,11060.65,68.0,11060.65,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
1072,1712508,2017-07-27,C,50000.0,,,1000000.0,0.0,3000.0,10000.0,0.0,10000.0,0.0,0.0,53000.0,0.0,0.0,0.0,-60000.0,11000.0,1,1
1074,1712452,2017-07-27,C,10000.0,,,107000.0,5.0,268019.0,85.0,266519.0,85.0,0.0,0.0,0.0,0.0,350000.0,0.0,-176882.0,0.0,1,0
1076,1711875,2017-07-28,C,50000.0,,,107000.0,0.0,10086.0,4349.0,10086.0,4349.0,0.0,0.0,6143.0,0.0,100000.0,0.0,-100406.0,-13051.0,1,1
1080,1711700,2017-07-28,C,10000.0,,,1000000.0,6.0,9100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5427.0,0.0,1,1
1084,1701035,2017-07-28,C,25000.0,,,1070000.0,10.0,11141.0,16945.0,7077.0,15610.0,3200.0,0.0,408754.0,60912.0,0.0,0.0,-645646.0,-103967.0,1,0
1096,1713366,2017-07-31,C,9999.99,,,499999.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5026,1713366,2019-05-31,C,10001.0,,,1069999.0,0.0,8383.0,28049.0,154.0,21655.0,0.0,0.0,0.0,0.0,0.0,0.0,-17898.0,-18960.0,2,0
1098,1713288,2017-07-31,C,10000.0,,,1070000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3864,1713288,2018-12-20,C,10000.0,,,1070000.0,2.0,320647.0,0.0,150.0,0.0,0.0,0.0,119032.0,0.0,350843.0,0.0,-149938.0,0.0,2,0
1100,1710904,2017-07-31,C,9999.99,,,455000.0,3.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3468,1710904,2018-10-10,C,10000.65,,,335170.0,3.0,624938.0,0.0,193138.0,0.0,0.0,0.0,174600.0,0.0,0.0,0.0,-45338.0,0.0,2,1
1109,1528338,2017-08-01,C,9999.99,,,100000.03,4.0,2805171.18,2814062.0,5742.0,12233.88,0.0,0.0,0.0,0.0,0.0,0.0,-9118.77,-12410.27,1,0
1117,1712071,2017-08-02,C,100000.0,,,1000000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4089.0,0.0,0.0,0.0,-4089.0,0.0,1,1
1121,1713914,2017-08-04,C,10000.0,,,100000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3385,1713914,2018-09-24,C,10000.25,,,1000025.0,4.0,48157.0,0.0,48157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8338.0,0.0,2,1
1123,1710908,2017-08-04,C,10000.0,,,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1125,1680729,2017-08-04,C,50000.0,,,425000.0,4.0,46175.0,0.0,8432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51173.0,0.0,1,1
1129,1691252,2017-08-07,C,50000.0,,Issuer is adjusting their price per share and maximum funding goal.,1000000.0,4.0,1132328.0,0.0,1072883.0,0.0,0.0,0.0,340694.0,0.0,0.0,0.0,-675094.0,0.0,1,1
1134,1708151,2017-08-08,C,50000.0,,,107000.0,20.0,154272.0,39916.0,25127.0,32618.0,35290.0,0.0,30000.0,30000.0,0.0,0.0,3956.0,-3548.0,1,1
1137,1685790,2017-08-09,C,10000.0,,,500000.0,2.0,12752.0,0.0,12752.0,0.0,0.0,0.0,51125.0,0.0,0.0,0.0,-38373.0,0.0,1,1
1141,1713352,2017-08-09,C,10000.0,,,100000.0,20.0,374310.0,378141.0,-62208.0,-88293.0,33203.0,35393.0,0.0,0.0,882334.0,887510.0,-198045.0,-134328.0,1,1
1148,1713167,2017-08-10,C,50000.0,,,300000.0,8.0,88818.0,83321.0,11895.0,75041.0,69923.0,1280.0,156773.0,91399.0,0.0,0.0,-66769.0,-70695.0,1,1
1146,1710619,2017-08-10,C,25000.0,,,1000000.0,1.0,10857.0,8484.0,10106.0,7233.0,0.0,0.0,97020.0,98924.0,2607.0,0.0,1670.0,-36475.0,1,0
1150,1710081,2017-08-11,C,10002.0,,,106980.0,3.0,59575.0,500063.0,-1089.0,500063.0,0.0,0.0,243225.0,221892.0,500000.0,500000.0,-473499.0,-256682.0,1,0
1153,1713789,2017-08-11,C,150000.0,,,500000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1154,1517560,2017-08-11,C,50000.0,,,1070000.0,25.0,1413141.0,1543716.0,51694.0,13312.0,26689.0,663551.0,2461871.0,3958209.0,3751831.0,848219.0,-5778487.0,-3581413.0,1,1
1156,1687073,2017-08-14,C,50000.0,,Issuer is extending the end date of their campaign.,800000.0,8.0,1526335.0,768612.0,842458.0,269852.0,82612.0,77614.0,88299.0,216831.0,425000.0,425000.0,-1290439.0,-752274.0,1,0
1160,1711451,2017-08-14,C,25000.0,,,1000000.0,2.0,54927.0,6498.0,46194.0,1998.0,3000.0,0.0,3067.0,0.0,0.0,0.0,-145750.0,-32470.0,1,0
1163,1714511,2017-08-14,C,30000.0,,,150000.0,7.0,252689.0,23000.0,220452.0,23000.0,0.0,0.0,0.0,10000.0,0.0,0.0,178881.0,22824.0,1,0
1167,1703369,2017-08-15,C,9999.85,,,999999.7,3.0,104.0,395.0,104.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1168,1714567,2017-08-16,C,30000.0,,,90000.0,1.0,378746.79,321421.0,47578.01,101370.85,9300.0,8900.0,33871.0,37680.0,127500.0,150000.0,1358.14,1393.76,1,0
1171,1714631,2017-08-16,C,100000.0,,,,0.0,171230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1173,1653884,2017-08-17,C,9996.4,,,1069990.0,3.0,143760.0,51731.0,12852.0,11697.0,5113.0,0.0,14107.0,0.0,535972.0,127352.0,-205142.0,-13690.0,1,1
1174,1712479,2017-08-18,C,10000.0,,,1070000.0,14.0,265737.0,211624.0,145266.0,104474.0,0.0,0.0,27555.0,0.0,77494.0,93964.0,-667212.0,-336940.0,1,1
1175,1708907,2017-08-18,C,100000.05,,,1000000.0,5.0,363764.0,386328.0,24559.0,12031.0,0.0,14249.0,602442.0,577330.0,0.0,0.0,-241079.0,-268579.0,1,1
1176,1714911,2017-08-18,C,10000.0,,,100000.0,1.0,571.91,-931.51,571.91,-931.51,0.0,0.0,0.0,0.0,48747.5,41897.5,-5346.0,-43859.0,1,0
1794,1714911,2018-01-10,C,9999.7,,,434999.68,1.0,667.0,102.0,667.0,102.0,0.0,0.0,8748.0,1898.0,45422.0,42450.0,-8319.0,-46294.0,2,1
1177,1698034,2017-08-18,C,25000.0,,,,3.0,284222.0,160815.0,8347.0,31598.0,15321.0,51679.0,0.0,0.0,0.0,0.0,-214819.0,-145392.0,1,0
1178,1714294,2017-08-21,C,75000.0,,,107000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1187,1713240,2017-08-23,C,10000.0,,,700000.0,25.0,94283.0,21635.0,94283.0,21635.0,0.0,0.0,0.0,0.0,0.0,0.0,-100053.0,198401.0,1,1
1188,1710013,2017-08-23,C,9000.0,,,90000.0,0.0,3110.0,205.0,3110.0,205.0,0.0,0.0,0.0,0.0,4100.0,0.0,-1195.0,-3312.0,1,0
1189,1702090,2017-08-24,C,9996.4,,Amendment to the subscription agreement,1069990.0,3.0,143760.0,51731.0,12852.0,11697.0,5113.0,0.0,14107.0,0.0,535972.0,127352.0,-205142.0,-13690.0,1,1
1190,1715496,2017-08-24,C,10000.0,,,100000.0,4.0,12344.0,0.0,1720.0,0.0,0.0,0.0,11038.0,0.0,0.0,0.0,-1506.0,0.0,1,1
1191,1603505,2017-08-24,C,10000.0,,,100000.0,3.0,57278.0,86444.0,31809.0,56518.0,2858.0,3545.0,53647.0,22267.0,290000.0,290000.0,-77210.0,-143954.0,1,1
1197,1712565,2017-08-25,C,50000.0,,,1070000.0,0.0,4903.0,0.0,2275.0,0.0,0.0,0.0,11222.0,0.0,0.0,0.0,-32827.0,0.0,1,1
1198,1714699,2017-08-25,C,10000.0,,,107000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1199,1705123,2017-08-28,C,298000.0,,,328000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1201,1715385,2017-08-28,C,25000.0,,,750000.0,1.0,117377.0,5923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1204,1714503,2017-08-28,C,9999.9,,,106999.8,1.0,80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3648.0,0.0,1,1
1206,1715599,2017-08-29,C,300000.0,,,1000000.0,10.0,58295.0,5563.0,51390.0,4609.0,3129.0,954.0,29629.0,28996.0,111575.0,0.0,-76142.0,2516.0,1,0
2206,1715599,2018-04-09,C,390.0,,Extending the end date of their campaign.,410000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
1208,1714517,2017-08-29,C,10000.0,,,25000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1213,1706020,2017-08-30,C,10000.0,,,1000000.0,4.0,259.0,0.0,259.0,0.0,0.0,0.0,1351.0,0.0,0.0,0.0,-1271.0,0.0,1,1
1215,1698837,2017-08-31,C,50000.0,,,1000000.0,17.0,1133980.0,751996.0,1065990.0,659439.0,0.0,0.0,1171805.0,1004143.0,0.0,0.0,-32641.0,-115120.0,1,1
1218,1712550,2017-08-31,C,50000.0,,,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1219,1704033,2017-08-31,C,10000.0,,,100000.0,6.0,19296.0,27467.0,3866.0,12037.0,0.0,0.0,102345.0,0.0,0.0,0.0,-48271.0,-222671.0,1,0
1224,1640709,2017-09-01,C,50000.0,,,107000.0,0.0,8257.0,89268.0,8257.0,89268.0,0.0,0.0,158201.0,66307.0,345000.0,205000.0,-312908.0,-148732.0,1,1
1290,1640709,2017-09-25,C,50000.0,,,428000.0,0.0,8257.0,89268.0,8257.0,89268.0,0.0,0.0,158201.0,66307.0,345000.0,205000.0,-312908.0,-148732.0,2,1
1225,1714426,2017-09-05,C,25000.0,,,750000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1228,1681375,2017-09-06,C,50000.0,,,107000.0,2.0,42579.0,36423.0,16222.0,6207.0,8976.0,8683.0,87643.0,38700.0,0.0,0.0,-40099.0,-21924.0,1,1
1229,1715417,2017-09-07,C,50000.0,,,100000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1230,1713410,2017-09-08,C,50000.0,,,107000.0,9.0,111450.0,0.0,87960.0,0.0,0.0,0.0,16250.0,0.0,0.0,0.0,-267386.0,0.0,1,1
1232,1715013,2017-09-08,C,50000.0,,,400000.0,4.0,211880.0,163471.0,99330.0,94071.0,46638.0,0.0,307500.0,0.0,210000.0,346157.0,-130433.0,-228081.0,1,1
1240,1607566,2017-09-12,C,9999.96,,,1069999.06,11.0,240817.0,338790.0,13236.0,84022.0,1750.0,1000.0,1248.0,2336.0,595939.0,418318.0,-1176620.0,-1432114.0,1,0
1242,1690258,2017-09-13,C,10000.0,,,535000.0,5.0,42422.0,258396.0,39172.0,250696.0,0.0,0.0,0.0,0.0,119444.0,102778.0,-640268.0,-330828.0,1,1
2844,1690258,2018-06-21,C,10000.0,,,107000.0,1.0,2.89,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7166.400000000001,0.0,2,0
1245,1715813,2017-09-13,C,25000.0,,,1070000.0,2.0,10701.0,12370.0,2905.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,-108241.0,45630.0,1,1
1246,1716675,2017-09-14,C,250000.0,,Include video transcripts and updated business plan.,1000000.0,14.0,1176935.0,1216917.0,689663.0,470003.0,329281.0,516246.0,1474636.0,1453220.0,389757.0,506932.0,55777.0,48035.0,1,1
1247,1716266,2017-09-14,C,50000.0,,,1000000.0,4.0,22573.0,0.0,22573.0,0.0,0.0,0.0,0.0,0.0,89900.0,0.0,-67327.0,0.0,1,1
