,CIK,FILING_DATE,SUBMISSION_TYPE,OFFERINGAMOUNT,PROGRESSUPDATE,NATUREOFAMENDMENT,MAXIMUMOFFERINGAMOUNT,CURRENTEMPLOYEES,TOTALASSETMOSTRECENTFISCALYEAR,TOTALASSETPRIORFISCALYEAR,CASHEQUIMOSTRECENTFISCALYEAR,CASHEQUIPRIORFISCALYEAR,ACTRECEIVEDRECENTFISCALYEAR,ACTRECEIVEDPRIORFISCALYEAR,SHORTTERMDEBTMRECENTFISCALYEAR,SHORTTERMDEBTPRIORFISCALYEAR,LONGTERMDEBTRECENTFISCALYEAR,LONGTERMDEBTPRIORFISCALYEAR,NETINCOMEMOSTRECENTFISCALYEAR,NETINCOMEPRIORFISCALYEAR,Form_C_Number,Funding_Success
83,1678622,2016-07-07,C,40000.0,,,100000.0,28.0,429781.39,9177.23,356627.42,1931.73,16694.69,0.0,49687.45,2272.77,623666.72,0.0,-145125.84,5321.2,1,0
84,1609838,2016-07-07,C,20000.0,,,100000.0,2.0,46402.35,0.0,15195.48,0.0,0.0,0.0,6675.5,0.0,42164.38,0.0,-237220.15,0.0,1,0
88,1678997,2016-07-14,C,500000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
89,1679526,2016-07-14,C,100000.0,,,500000.0,8.0,162080.0,317402.0,1813.0,63068.0,0.0,42815.0,158011.0,140511.0,0.0,0.0,60060.0,-210022.0,1,0
90,1667014,2016-07-15,C,100000.0,,,,3.0,12214.24,0.0,33.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
91,1679372,2016-07-18,C,50000.0,,,500000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1443,1679372,2017-10-27,C,25000.0,,,535000.0,10.0,54922.0,0.0,54922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2930.0,0.0,2,0
92,1647869,2016-07-18,C,100000.0,,,500000.0,1.0,22199.0,12219.0,22199.0,12219.0,0.0,0.0,0.0,0.0,60000.0,0.0,51179.0,7781.0,1,1
93,1679373,2016-07-18,C,465000.0,,,999999.0,2.0,1000.0,2706.0,0.0,1039.0,0.0,0.0,60000.0,0.0,145000.0,135000.0,-258943.0,-183821.0,1,1
1719,1679373,2017-12-21,C,25000.0,,,535000.0,2.0,200940.0,1000.0,85645.0,0.0,91000.0,0.0,417149.0,200164.0,111000.0,160000.0,-103589.0,-258943.0,2,1
95,1680041,2016-07-19,C,100000.0,,,500000.0,2.0,47264.0,44509.0,16351.0,8399.0,4727.0,6051.0,100645.0,80364.0,0.0,0.0,-50654.0,-35506.0,1,1
98,1680153,2016-07-21,C,110000.0,,,1000000.0,0.0,2359.0,0.0,2359.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1,0
100,1680084,2016-07-25,C,50000.0,,,1000000.0,3.0,135709.0,226987.0,4101.0,216987.0,128438.0,0.0,2150103.0,1330305.0,100000.0,255000.0,-764698.0,-883461.0,1,0
408,1680084,2016-12-23,C,25000.0,,,750000.0,3.0,135709.0,226987.0,4101.0,216987.0,128438.0,0.0,2150103.0,1330305.0,100000.0,255000.0,-764698.0,-883461.0,2,1
101,1679413,2016-07-25,C,50000.0,,,100000.0,4.0,39302.0,32769.0,857.0,2769.0,0.0,0.0,0.0,0.0,29020.0,20300.0,-10256.0,-2531.0,1,0
