ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001781049-19-000001	61	A8
0001781049-19-000001	60	A7
0001781049-19-000001	63	B0
0001781049-19-000001	64	Z4
0001781049-19-000001	32	NM
0001781049-19-000001	33	NY
0001781049-19-000001	34	NC
0001781049-19-000001	35	ND
0001781049-19-000001	36	OH
0001781049-19-000001	37	OK
0001781049-19-000001	38	OR
0001781049-19-000001	39	PA
0001781049-19-000001	1	AL
0001781049-19-000001	2	AK
0001781049-19-000001	3	AZ
0001781049-19-000001	4	AR
0001781049-19-000001	5	CA
0001781049-19-000001	6	CO
0001781049-19-000001	7	CT
0001781049-19-000001	8	DE
0001781049-19-000001	9	DC
0001781049-19-000001	10	FL
0001781049-19-000001	11	GA
0001781049-19-000001	12	HI
0001781049-19-000001	13	ID
0001781049-19-000001	14	IL
0001781049-19-000001	15	IN
0001781049-19-000001	16	IA
0001781049-19-000001	17	KS
0001781049-19-000001	18	KY
0001781049-19-000001	19	LA
0001781049-19-000001	20	ME
0001781049-19-000001	21	MD
0001781049-19-000001	22	MA
0001781049-19-000001	23	MI
0001781049-19-000001	24	MN
0001781049-19-000001	25	MS
0001781049-19-000001	26	MO
0001781049-19-000001	27	MT
0001781049-19-000001	28	NE
0001781049-19-000001	29	NV
0001781049-19-000001	30	NH
0001781049-19-000001	31	NJ
0001781049-19-000001	40	PR
0001781049-19-000001	41	RI
0001781049-19-000001	42	SC
0001781049-19-000001	43	SD
0001781049-19-000001	44	TN
0001781049-19-000001	45	TX
0001781049-19-000001	46	UT
0001781049-19-000001	47	VT
0001781049-19-000001	48	VA
0001781049-19-000001	49	WA
0001781049-19-000001	50	WV
0001781049-19-000001	51	WI
0001781049-19-000001	52	WY
0001781049-19-000001	53	A0
0001781049-19-000001	54	A1
0001781049-19-000001	55	A2
0001781049-19-000001	56	A3
0001781049-19-000001	57	A4
0001781049-19-000001	58	A5
0001781049-19-000001	59	A6
0001781049-19-000001	62	A9
0001665160-19-000737	26	MO
0001665160-19-000737	25	MS
0001665160-19-000737	28	NE
0001665160-19-000737	29	NV
0001665160-19-000737	30	NH
0001665160-19-000737	31	NJ
0001665160-19-000737	32	NM
0001665160-19-000737	33	NY
0001665160-19-000737	34	NC
0001665160-19-000737	35	ND
0001665160-19-000737	36	OH
0001665160-19-000737	37	OK
0001665160-19-000737	38	OR
0001665160-19-000737	39	PA
0001665160-19-000737	40	PR
0001665160-19-000737	41	RI
0001665160-19-000737	42	SC
0001665160-19-000737	43	SD
0001665160-19-000737	44	TN
0001665160-19-000737	45	TX
0001665160-19-000737	46	UT
0001665160-19-000737	47	VT
0001665160-19-000737	48	VA
0001665160-19-000737	49	WA
0001665160-19-000737	50	WV
0001665160-19-000737	51	WI
0001665160-19-000737	52	WY
0001665160-19-000737	1	AL
0001665160-19-000737	2	AK
0001665160-19-000737	3	AZ
0001665160-19-000737	4	AR
0001665160-19-000737	5	CA
0001665160-19-000737	6	CO
0001665160-19-000737	7	CT
0001665160-19-000737	8	DE
0001665160-19-000737	9	DC
0001665160-19-000737	10	FL
0001665160-19-000737	11	GA
0001665160-19-000737	12	HI
0001665160-19-000737	13	ID
0001665160-19-000737	14	IL
0001665160-19-000737	15	IN
0001665160-19-000737	16	IA
0001665160-19-000737	17	KS
0001665160-19-000737	18	KY
0001665160-19-000737	19	LA
0001665160-19-000737	20	ME
0001665160-19-000737	21	MD
0001665160-19-000737	22	MA
0001665160-19-000737	23	MI
0001665160-19-000737	24	MN
0001665160-19-000737	27	MT
0001669191-19-000208	35	ND
0001669191-19-000208	36	OH
0001669191-19-000208	37	OK
0001669191-19-000208	38	OR
0001669191-19-000208	39	PA
0001669191-19-000208	40	RI
0001669191-19-000208	41	SC
0001669191-19-000208	42	SD
0001669191-19-000208	43	TN
0001669191-19-000208	44	TX
0001669191-19-000208	45	UT
0001669191-19-000208	46	VT
0001669191-19-000208	47	VA
0001669191-19-000208	48	WA
0001669191-19-000208	49	WV
0001669191-19-000208	50	WI
0001669191-19-000208	51	WY
0001669191-19-000208	52	B5
0001669191-19-000208	53	GU
0001669191-19-000208	54	1V
0001669191-19-000208	55	PR
0001669191-19-000208	56	VI
0001669191-19-000208	1	AL
0001669191-19-000208	2	AK
0001669191-19-000208	3	AZ
0001669191-19-000208	4	AR
0001669191-19-000208	5	CA
0001669191-19-000208	6	CO
0001669191-19-000208	7	CT
0001669191-19-000208	8	DE
0001669191-19-000208	9	DC
0001669191-19-000208	10	FL
0001669191-19-000208	11	GA
0001669191-19-000208	12	HI
0001669191-19-000208	13	ID
0001669191-19-000208	14	IL
0001669191-19-000208	15	IN
0001669191-19-000208	16	IA
0001669191-19-000208	17	KS
0001669191-19-000208	18	KY
0001669191-19-000208	19	LA
0001669191-19-000208	20	ME
0001669191-19-000208	21	MD
0001669191-19-000208	22	MA
0001669191-19-000208	23	MI
0001669191-19-000208	24	MN
0001669191-19-000208	25	MS
0001669191-19-000208	26	MO
0001669191-19-000208	27	MT
0001669191-19-000208	28	NE
0001669191-19-000208	29	NV
0001669191-19-000208	30	NH
0001669191-19-000208	31	NJ
0001669191-19-000208	32	NM
0001669191-19-000208	33	NY
0001669191-19-000208	34	NC
0001665160-19-000736	50	WV
0001665160-19-000736	51	WI
0001665160-19-000736	52	WY
0001665160-19-000736	10	FL
0001665160-19-000736	11	GA
0001665160-19-000736	12	HI
0001665160-19-000736	13	ID
0001665160-19-000736	14	IL
0001665160-19-000736	15	IN
0001665160-19-000736	16	IA
0001665160-19-000736	17	KS
0001665160-19-000736	1	AL
0001665160-19-000736	2	AK
0001665160-19-000736	3	AZ
0001665160-19-000736	4	AR
0001665160-19-000736	5	CA
0001665160-19-000736	6	CO
0001665160-19-000736	7	CT
0001665160-19-000736	8	DE
0001665160-19-000736	9	DC
0001665160-19-000736	18	KY
0001665160-19-000736	19	LA
0001665160-19-000736	20	ME
0001665160-19-000736	21	MD
0001665160-19-000736	22	MA
0001665160-19-000736	23	MI
0001665160-19-000736	24	MN
0001665160-19-000736	25	MS
0001665160-19-000736	26	MO
0001665160-19-000736	27	MT
0001665160-19-000736	28	NE
0001665160-19-000736	29	NV
0001665160-19-000736	30	NH
0001665160-19-000736	31	NJ
0001665160-19-000736	32	NM
0001665160-19-000736	33	NY
0001665160-19-000736	34	NC
0001665160-19-000736	35	ND
0001665160-19-000736	36	OH
0001665160-19-000736	37	OK
0001665160-19-000736	38	OR
0001665160-19-000736	39	PA
0001665160-19-000736	40	PR
0001665160-19-000736	41	RI
0001665160-19-000736	42	SC
0001665160-19-000736	43	SD
0001665160-19-000736	44	TN
0001665160-19-000736	45	TX
0001665160-19-000736	46	UT
0001665160-19-000736	47	VT
0001665160-19-000736	48	VA
0001665160-19-000736	49	WA
0001775186-19-000004	35	ND
0001775186-19-000004	34	NC
0001775186-19-000004	37	OK
0001775186-19-000004	38	OR
0001775186-19-000004	39	PA
0001775186-19-000004	40	PR
0001775186-19-000004	41	RI
0001775186-19-000004	42	SC
0001775186-19-000004	43	SD
0001775186-19-000004	44	TN
0001775186-19-000004	45	TX
0001775186-19-000004	46	UT
0001775186-19-000004	47	VT
0001775186-19-000004	48	VA
0001775186-19-000004	49	WA
0001775186-19-000004	50	WV
0001775186-19-000004	51	WI
0001775186-19-000004	52	WY
0001775186-19-000004	1	AL
0001775186-19-000004	2	AK
0001775186-19-000004	3	AZ
0001775186-19-000004	4	AR
0001775186-19-000004	5	CA
0001775186-19-000004	6	CO
0001775186-19-000004	7	CT
0001775186-19-000004	8	DE
0001775186-19-000004	9	DC
0001775186-19-000004	10	FL
0001775186-19-000004	11	GA
0001775186-19-000004	12	HI
0001775186-19-000004	13	ID
0001775186-19-000004	14	IL
0001775186-19-000004	15	IN
0001775186-19-000004	16	IA
0001775186-19-000004	17	KS
0001775186-19-000004	18	KY
0001775186-19-000004	19	LA
0001775186-19-000004	20	ME
0001775186-19-000004	21	MD
0001775186-19-000004	22	MA
0001775186-19-000004	23	MI
0001775186-19-000004	24	MN
0001775186-19-000004	25	MS
0001775186-19-000004	26	MO
0001775186-19-000004	27	MT
0001775186-19-000004	28	NE
0001775186-19-000004	29	NV
0001775186-19-000004	30	NH
0001775186-19-000004	31	NJ
0001775186-19-000004	32	NM
0001775186-19-000004	33	NY
0001775186-19-000004	36	OH
0001774156-19-000007	12	GU
0001774156-19-000007	11	GA
0001774156-19-000007	14	ID
0001774156-19-000007	15	IL
0001774156-19-000007	16	IN
0001774156-19-000007	17	IA
0001774156-19-000007	18	KS
0001774156-19-000007	19	KY
0001774156-19-000007	20	LA
0001774156-19-000007	21	ME
0001774156-19-000007	22	MD
0001774156-19-000007	23	MA
0001774156-19-000007	24	MI
0001774156-19-000007	25	MN
0001774156-19-000007	26	MS
0001774156-19-000007	27	MO
0001774156-19-000007	28	MT
0001774156-19-000007	29	NE
0001774156-19-000007	30	NV
0001774156-19-000007	31	NH
0001774156-19-000007	32	NJ
0001774156-19-000007	33	NM
0001774156-19-000007	34	NY
0001774156-19-000007	35	NC
0001774156-19-000007	36	ND
0001774156-19-000007	37	OH
0001774156-19-000007	38	OK
0001774156-19-000007	39	OR
0001774156-19-000007	40	PA
0001774156-19-000007	41	PR
0001774156-19-000007	42	RI
0001774156-19-000007	43	SC
0001774156-19-000007	44	SD
0001774156-19-000007	45	TN
0001774156-19-000007	46	TX
0001774156-19-000007	47	UT
0001774156-19-000007	48	VT
0001774156-19-000007	49	VI
0001774156-19-000007	50	VA
0001774156-19-000007	51	WA
0001774156-19-000007	52	WV
0001774156-19-000007	53	WI
0001774156-19-000007	54	WY
0001774156-19-000007	55	B5
0001774156-19-000007	56	1V
0001774156-19-000007	1	AL
0001774156-19-000007	2	AK
0001774156-19-000007	3	AZ
0001774156-19-000007	4	AR
0001774156-19-000007	5	CA
0001774156-19-000007	6	CO
0001774156-19-000007	7	CT
0001774156-19-000007	8	DE
0001774156-19-000007	9	DC
0001774156-19-000007	10	FL
0001774156-19-000007	13	HI
0001779032-19-000001	8	DE
0001779032-19-000001	7	CT
0001779032-19-000001	10	FL
0001779032-19-000001	11	GA
0001779032-19-000001	12	HI
0001779032-19-000001	13	ID
0001779032-19-000001	14	IL
0001779032-19-000001	15	IN
0001779032-19-000001	16	IA
0001779032-19-000001	17	KS
0001779032-19-000001	18	KY
0001779032-19-000001	19	LA
0001779032-19-000001	20	ME
0001779032-19-000001	21	MD
0001779032-19-000001	22	MA
0001779032-19-000001	23	MI
0001779032-19-000001	24	MN
0001779032-19-000001	25	MS
0001779032-19-000001	26	MO
0001779032-19-000001	27	MT
0001779032-19-000001	28	NE
0001779032-19-000001	29	NV
0001779032-19-000001	30	NH
0001779032-19-000001	31	NJ
0001779032-19-000001	32	NM
0001779032-19-000001	33	NY
0001779032-19-000001	34	NC
0001779032-19-000001	35	ND
0001779032-19-000001	36	OH
0001779032-19-000001	37	OK
0001779032-19-000001	38	OR
0001779032-19-000001	39	PA
0001779032-19-000001	40	PR
0001779032-19-000001	41	RI
0001779032-19-000001	42	SC
0001779032-19-000001	43	SD
0001779032-19-000001	44	TN
0001779032-19-000001	45	TX
0001779032-19-000001	46	UT
0001779032-19-000001	47	VT
0001779032-19-000001	48	VA
0001779032-19-000001	49	WA
0001779032-19-000001	50	WV
0001779032-19-000001	51	WI
0001779032-19-000001	52	WY
0001779032-19-000001	53	A0
0001779032-19-000001	54	A1
0001779032-19-000001	55	A2
0001779032-19-000001	56	A3
0001779032-19-000001	57	A4
0001779032-19-000001	58	A5
0001779032-19-000001	59	A6
0001779032-19-000001	60	A7
0001779032-19-000001	61	A8
0001779032-19-000001	62	A9
0001779032-19-000001	63	B0
0001779032-19-000001	64	Z4
0001779032-19-000001	1	AL
0001779032-19-000001	2	AK
0001779032-19-000001	3	AZ
0001779032-19-000001	4	AR
0001779032-19-000001	5	CA
0001779032-19-000001	6	CO
0001779032-19-000001	9	DC
0001770281-19-000004	52	WV
0001770281-19-000004	51	WA
0001770281-19-000004	53	WI
0001770281-19-000004	54	WY
0001770281-19-000004	55	B5
0001770281-19-000004	56	1V
0001770281-19-000004	1	AL
0001770281-19-000004	2	AK
0001770281-19-000004	3	AZ
0001770281-19-000004	4	AR
0001770281-19-000004	5	CA
0001770281-19-000004	6	CO
0001770281-19-000004	7	CT
0001770281-19-000004	8	DE
0001770281-19-000004	9	DC
0001770281-19-000004	10	FL
0001770281-19-000004	11	GA
0001770281-19-000004	12	GU
0001770281-19-000004	13	HI
0001770281-19-000004	14	ID
0001770281-19-000004	15	IL
0001770281-19-000004	16	IN
0001770281-19-000004	17	IA
0001770281-19-000004	18	KS
0001770281-19-000004	19	KY
0001770281-19-000004	20	LA
0001770281-19-000004	21	ME
0001770281-19-000004	22	MD
0001770281-19-000004	23	MA
0001770281-19-000004	24	MI
0001770281-19-000004	25	MN
0001770281-19-000004	26	MS
0001770281-19-000004	27	MO
0001770281-19-000004	28	MT
0001770281-19-000004	29	NE
0001770281-19-000004	30	NV
0001770281-19-000004	31	NH
0001770281-19-000004	32	NJ
0001770281-19-000004	33	NM
0001770281-19-000004	34	NY
0001770281-19-000004	35	NC
0001770281-19-000004	36	ND
0001770281-19-000004	37	OH
0001770281-19-000004	38	OK
0001770281-19-000004	39	OR
0001770281-19-000004	40	PA
0001770281-19-000004	41	PR
0001770281-19-000004	42	RI
0001770281-19-000004	43	SC
0001770281-19-000004	44	SD
0001770281-19-000004	45	TN
0001770281-19-000004	46	TX
0001770281-19-000004	47	UT
0001770281-19-000004	48	VT
0001770281-19-000004	49	VI
0001770281-19-000004	50	VA
0001746059-19-000001	1	AR
0001778755-19-000001	14	IL
0001778755-19-000001	15	IN
0001778755-19-000001	16	IA
0001778755-19-000001	17	KS
0001778755-19-000001	18	KY
0001778755-19-000001	19	LA
0001778755-19-000001	20	ME
0001778755-19-000001	21	MD
0001778755-19-000001	22	MA
0001778755-19-000001	23	MI
0001778755-19-000001	24	MN
0001778755-19-000001	25	MS
0001778755-19-000001	26	MO
0001778755-19-000001	27	MT
0001778755-19-000001	28	NE
0001778755-19-000001	29	NV
0001778755-19-000001	30	NH
0001778755-19-000001	31	NJ
0001778755-19-000001	32	NM
0001778755-19-000001	33	NY
0001778755-19-000001	34	NC
0001778755-19-000001	35	ND
0001778755-19-000001	36	OH
0001778755-19-000001	37	OK
0001778755-19-000001	38	OR
0001778755-19-000001	39	PA
0001778755-19-000001	40	PR
0001778755-19-000001	41	RI
0001778755-19-000001	42	SC
0001778755-19-000001	43	SD
0001778755-19-000001	44	TN
0001778755-19-000001	45	TX
0001778755-19-000001	46	UT
0001778755-19-000001	47	VT
0001778755-19-000001	48	VA
0001778755-19-000001	49	WA
0001778755-19-000001	50	WV
0001778755-19-000001	51	WI
0001778755-19-000001	52	WY
0001778755-19-000001	1	AL
0001778755-19-000001	2	AK
0001778755-19-000001	3	AZ
0001778755-19-000001	4	AR
0001778755-19-000001	5	CA
0001778755-19-000001	6	CO
0001778755-19-000001	7	CT
0001778755-19-000001	8	DE
0001778755-19-000001	9	DC
0001778755-19-000001	10	FL
0001778755-19-000001	11	GA
0001778755-19-000001	12	HI
0001778755-19-000001	13	ID
0001779569-19-000002	34	NC
0001779569-19-000002	33	NY
0001779569-19-000002	36	OH
0001779569-19-000002	37	OK
0001779569-19-000002	38	OR
0001779569-19-000002	39	PA
0001779569-19-000002	40	PR
0001779569-19-000002	41	RI
0001779569-19-000002	42	SC
0001779569-19-000002	43	SD
0001779569-19-000002	44	TN
0001779569-19-000002	45	TX
0001779569-19-000002	46	UT
0001779569-19-000002	47	VT
0001779569-19-000002	48	VA
0001779569-19-000002	49	WA
0001779569-19-000002	50	WV
0001779569-19-000002	51	WI
0001779569-19-000002	52	WY
0001779569-19-000002	1	AL
0001779569-19-000002	2	AK
0001779569-19-000002	3	AZ
0001779569-19-000002	4	AR
0001779569-19-000002	5	CA
0001779569-19-000002	6	CO
0001779569-19-000002	7	CT
0001779569-19-000002	8	DE
0001779569-19-000002	9	DC
0001779569-19-000002	10	FL
0001779569-19-000002	11	GA
0001779569-19-000002	12	HI
0001779569-19-000002	13	ID
0001779569-19-000002	14	IL
0001779569-19-000002	15	IN
0001779569-19-000002	16	IA
0001779569-19-000002	17	KS
0001779569-19-000002	18	KY
0001779569-19-000002	19	LA
0001779569-19-000002	20	ME
0001779569-19-000002	21	MD
0001779569-19-000002	22	MA
0001779569-19-000002	23	MI
0001779569-19-000002	24	MN
0001779569-19-000002	25	MS
0001779569-19-000002	26	MO
0001779569-19-000002	27	MT
0001779569-19-000002	28	NE
0001779569-19-000002	29	NV
0001779569-19-000002	30	NH
0001779569-19-000002	31	NJ
0001779569-19-000002	32	NM
0001779569-19-000002	35	ND
0001778006-19-000002	16	IA
0001778006-19-000002	15	IN
0001778006-19-000002	18	KY
0001778006-19-000002	19	LA
0001778006-19-000002	20	ME
0001778006-19-000002	21	MD
0001778006-19-000002	22	MA
0001778006-19-000002	23	MI
0001778006-19-000002	24	MN
0001778006-19-000002	25	MS
0001778006-19-000002	26	MO
0001778006-19-000002	27	MT
0001778006-19-000002	28	NE
0001778006-19-000002	29	NV
0001778006-19-000002	30	NH
0001778006-19-000002	31	NJ
0001778006-19-000002	32	NM
0001778006-19-000002	33	NY
0001778006-19-000002	34	NC
0001778006-19-000002	35	ND
0001778006-19-000002	36	OH
0001778006-19-000002	37	OK
0001778006-19-000002	38	OR
0001778006-19-000002	39	PA
0001778006-19-000002	40	PR
0001778006-19-000002	41	RI
0001778006-19-000002	42	SC
0001778006-19-000002	43	SD
0001778006-19-000002	44	TN
0001778006-19-000002	45	TX
0001778006-19-000002	46	UT
0001778006-19-000002	47	VT
0001778006-19-000002	48	VA
0001778006-19-000002	49	WA
0001778006-19-000002	50	WV
0001778006-19-000002	51	WI
0001778006-19-000002	52	WY
0001778006-19-000002	53	A0
0001778006-19-000002	54	A1
0001778006-19-000002	55	A2
0001778006-19-000002	56	A3
0001778006-19-000002	57	A4
0001778006-19-000002	58	A5
0001778006-19-000002	59	A6
0001778006-19-000002	60	A7
0001778006-19-000002	61	A8
0001778006-19-000002	62	A9
0001778006-19-000002	63	B0
0001778006-19-000002	64	Z4
0001778006-19-000002	1	AL
