ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001743601-19-000001	32	NM
0001743601-19-000001	31	NJ
0001743601-19-000001	34	NC
0001743601-19-000001	35	ND
0001743601-19-000001	36	OH
0001743601-19-000001	37	OK
0001743601-19-000001	38	OR
0001743601-19-000001	39	PA
0001743601-19-000001	40	PR
0001743601-19-000001	41	RI
0001743601-19-000001	42	SC
0001743601-19-000001	43	SD
0001743601-19-000001	44	TN
0001743601-19-000001	45	TX
0001743601-19-000001	46	UT
0001743601-19-000001	47	VT
0001743601-19-000001	48	VA
0001743601-19-000001	49	WA
0001743601-19-000001	50	WV
0001743601-19-000001	51	WI
0001743601-19-000001	52	WY
0001743601-19-000001	53	A0
0001743601-19-000001	54	A1
0001743601-19-000001	55	A2
0001743601-19-000001	56	A3
0001743601-19-000001	57	A4
0001743601-19-000001	58	A5
0001743601-19-000001	59	A6
0001743601-19-000001	60	A7
0001743601-19-000001	61	A8
0001743601-19-000001	62	A9
0001743601-19-000001	63	B0
0001743601-19-000001	64	Z4
0001743601-19-000001	1	AL
0001743601-19-000001	2	AK
0001743601-19-000001	3	AZ
0001743601-19-000001	4	AR
0001743601-19-000001	5	CA
0001743601-19-000001	6	CO
0001743601-19-000001	7	CT
0001743601-19-000001	8	DE
0001743601-19-000001	9	DC
0001743601-19-000001	10	FL
0001743601-19-000001	11	GA
0001743601-19-000001	12	HI
0001743601-19-000001	13	ID
0001743601-19-000001	14	IL
0001743601-19-000001	15	IN
0001743601-19-000001	16	IA
0001743601-19-000001	17	KS
0001743601-19-000001	18	KY
0001743601-19-000001	19	LA
0001743601-19-000001	20	ME
0001743601-19-000001	21	MD
0001743601-19-000001	22	MA
0001743601-19-000001	23	MI
0001743601-19-000001	24	MN
0001743601-19-000001	25	MS
0001743601-19-000001	26	MO
0001743601-19-000001	27	MT
0001743601-19-000001	28	NE
0001743601-19-000001	29	NV
0001743601-19-000001	30	NH
0001743601-19-000001	33	NY
0001666102-19-000008	22	MA
0001666102-19-000008	21	MD
