ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-16-000183	1	AL
0001665160-16-000183	52	WY
0001665160-16-000183	3	AZ
0001665160-16-000183	4	AR
0001665160-16-000183	5	CA
0001665160-16-000183	6	CO
0001665160-16-000183	7	CT
0001665160-16-000183	8	DC
0001665160-16-000183	9	DE
0001665160-16-000183	10	FL
0001665160-16-000183	11	GA
0001665160-16-000183	12	HI
0001665160-16-000183	13	ID
0001665160-16-000183	14	IL
0001665160-16-000183	15	IN
0001665160-16-000183	16	IA
0001665160-16-000183	17	KS
0001665160-16-000183	18	KY
0001665160-16-000183	19	LA
0001665160-16-000183	20	ME
0001665160-16-000183	21	MD
0001665160-16-000183	22	MA
0001665160-16-000183	23	MI
0001665160-16-000183	24	MN
0001665160-16-000183	25	MS
0001665160-16-000183	26	MO
0001665160-16-000183	27	MT
0001665160-16-000183	28	NE
0001665160-16-000183	29	NV
0001665160-16-000183	30	NH
0001665160-16-000183	31	NJ
0001665160-16-000183	32	NM
0001665160-16-000183	33	NY
0001665160-16-000183	34	NC
0001665160-16-000183	35	ND
0001665160-16-000183	36	OH
0001665160-16-000183	37	OK
0001665160-16-000183	38	OR
0001665160-16-000183	39	PA
0001665160-16-000183	40	PR
0001665160-16-000183	41	RI
0001665160-16-000183	42	SC
0001665160-16-000183	43	SD
0001665160-16-000183	44	TN
0001665160-16-000183	45	TX
0001665160-16-000183	46	UT
0001665160-16-000183	47	VT
0001665160-16-000183	48	VA
0001665160-16-000183	49	WA
0001665160-16-000183	50	WV
0001665160-16-000183	51	WI
0001665160-16-000183	2	AK
0001693084-16-000001	4	AR
0001693084-16-000001	5	CA
0001693084-16-000001	6	CO
0001693084-16-000001	7	CT
0001693084-16-000001	8	DE
0001693084-16-000001	9	DC
0001693084-16-000001	10	FL
0001693084-16-000001	11	GA
0001693084-16-000001	12	HI
0001693084-16-000001	13	ID
0001693084-16-000001	14	IL
0001693084-16-000001	15	IN
0001693084-16-000001	16	IA
0001693084-16-000001	17	KS
0001693084-16-000001	18	KY
0001693084-16-000001	19	LA
0001693084-16-000001	20	ME
0001693084-16-000001	21	MD
0001693084-16-000001	22	MA
0001693084-16-000001	23	MI
0001693084-16-000001	24	MN
0001693084-16-000001	25	MS
0001693084-16-000001	26	MO
0001693084-16-000001	27	MT
0001693084-16-000001	28	NE
0001693084-16-000001	29	NV
0001693084-16-000001	30	NH
0001693084-16-000001	31	NJ
0001693084-16-000001	32	NM
0001693084-16-000001	33	NY
0001693084-16-000001	34	NC
0001693084-16-000001	35	ND
0001693084-16-000001	36	OH
0001693084-16-000001	37	OK
0001693084-16-000001	38	OR
0001693084-16-000001	39	PA
0001693084-16-000001	40	PR
0001693084-16-000001	41	RI
0001693084-16-000001	42	SC
0001693084-16-000001	43	SD
0001693084-16-000001	44	TN
0001693084-16-000001	45	TX
0001693084-16-000001	55	A2
0001693084-16-000001	56	A3
0001693084-16-000001	57	A4
0001693084-16-000001	58	A5
0001693084-16-000001	59	A6
0001693084-16-000001	60	A7
0001693084-16-000001	61	A8
0001693084-16-000001	62	A9
0001693084-16-000001	63	B0
0001693084-16-000001	64	Z4
0001693084-16-000001	46	UT
0001693084-16-000001	47	VT
0001693084-16-000001	48	VA
0001693084-16-000001	49	WA
0001693084-16-000001	50	WV
0001693084-16-000001	51	WI
0001693084-16-000001	52	WY
0001693084-16-000001	53	A0
0001693084-16-000001	54	A1
0001693084-16-000001	1	AL
0001693084-16-000001	2	AK
0001693084-16-000001	3	AZ
0001665160-16-000180	7	CT
0001665160-16-000180	6	CO
0001665160-16-000180	9	DE
0001665160-16-000180	10	FL
0001665160-16-000180	11	GA
0001665160-16-000180	12	HI
0001665160-16-000180	13	ID
0001665160-16-000180	14	IL
0001665160-16-000180	15	IN
0001665160-16-000180	16	IA
0001665160-16-000180	17	KS
0001665160-16-000180	18	KY
0001665160-16-000180	19	LA
0001665160-16-000180	20	ME
0001665160-16-000180	21	MD
0001665160-16-000180	22	MA
0001665160-16-000180	23	MI
0001665160-16-000180	24	MN
0001665160-16-000180	25	MS
0001665160-16-000180	26	MO
0001665160-16-000180	27	MT
0001665160-16-000180	28	NE
0001665160-16-000180	29	NV
0001665160-16-000180	30	NH
0001665160-16-000180	31	NJ
0001665160-16-000180	32	NM
0001665160-16-000180	33	NY
0001665160-16-000180	34	NC
0001665160-16-000180	35	ND
0001665160-16-000180	36	OH
0001665160-16-000180	37	OK
0001665160-16-000180	38	OR
0001665160-16-000180	39	PA
0001665160-16-000180	40	PR
0001665160-16-000180	41	RI
0001665160-16-000180	42	SC
0001665160-16-000180	43	SD
0001665160-16-000180	44	TN
0001665160-16-000180	45	TX
0001665160-16-000180	46	UT
0001665160-16-000180	47	VT
0001665160-16-000180	48	VA
0001665160-16-000180	49	WA
0001665160-16-000180	50	WV
0001665160-16-000180	51	WI
0001665160-16-000180	52	WY
0001665160-16-000180	1	AL
0001665160-16-000180	2	AK
0001665160-16-000180	3	AZ
0001665160-16-000180	4	AR
0001665160-16-000180	5	CA
0001665160-16-000180	8	DC
0001684321-16-000003	63	B0
0001684321-16-000003	62	A9
0001684321-16-000003	1	AL
0001684321-16-000003	2	AK
0001684321-16-000003	3	AZ
0001684321-16-000003	4	AR
0001684321-16-000003	5	CA
0001684321-16-000003	6	CO
0001684321-16-000003	7	CT
0001684321-16-000003	8	DE
0001684321-16-000003	9	DC
0001684321-16-000003	10	FL
0001684321-16-000003	11	GA
0001684321-16-000003	12	HI
0001684321-16-000003	13	ID
0001684321-16-000003	14	IL
0001684321-16-000003	15	IN
0001684321-16-000003	16	IA
0001684321-16-000003	17	KS
0001684321-16-000003	18	KY
0001684321-16-000003	19	LA
0001684321-16-000003	20	ME
0001684321-16-000003	21	MD
0001684321-16-000003	22	MA
0001684321-16-000003	23	MI
0001684321-16-000003	24	MN
0001684321-16-000003	25	MS
0001684321-16-000003	26	MO
0001684321-16-000003	27	MT
0001684321-16-000003	28	NE
0001684321-16-000003	29	NV
0001684321-16-000003	30	NH
0001684321-16-000003	31	NJ
0001684321-16-000003	32	NM
0001684321-16-000003	33	NY
0001684321-16-000003	34	NC
0001684321-16-000003	35	ND
0001684321-16-000003	36	OH
0001684321-16-000003	37	OK
0001684321-16-000003	38	OR
0001684321-16-000003	39	PA
0001684321-16-000003	40	PR
0001684321-16-000003	41	RI
0001684321-16-000003	42	SC
0001684321-16-000003	43	SD
0001684321-16-000003	44	TN
0001684321-16-000003	45	TX
0001684321-16-000003	46	UT
0001684321-16-000003	47	VT
0001684321-16-000003	48	VA
0001684321-16-000003	49	WA
0001684321-16-000003	50	WV
0001684321-16-000003	51	WI
0001684321-16-000003	52	WY
