ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001670254-18-000100	42	SD
0001670254-18-000100	14	IL
0001670254-18-000100	44	TX
0001670254-18-000100	45	UT
0001670254-18-000100	46	VT
0001670254-18-000100	47	VA
0001670254-18-000100	48	WA
0001670254-18-000100	49	WV
0001670254-18-000100	50	WI
0001670254-18-000100	51	WY
0001670254-18-000100	52	B5
0001670254-18-000100	53	GU
0001670254-18-000100	54	PR
0001670254-18-000100	34	NC
0001670254-18-000100	35	ND
0001670254-18-000100	36	OH
0001670254-18-000100	37	OK
0001670254-18-000100	38	OR
0001670254-18-000100	39	PA
0001670254-18-000100	40	RI
0001670254-18-000100	41	SC
0001670254-18-000100	55	VI
0001670254-18-000100	56	1V
0001670254-18-000100	15	IN
0001670254-18-000100	16	IA
0001670254-18-000100	17	KS
0001670254-18-000100	18	KY
0001670254-18-000100	19	LA
0001670254-18-000100	20	ME
0001670254-18-000100	21	MD
0001670254-18-000100	22	MA
0001670254-18-000100	23	MI
0001670254-18-000100	24	MN
0001670254-18-000100	25	MS
0001670254-18-000100	26	MO
0001670254-18-000100	27	MT
0001670254-18-000100	28	NE
0001670254-18-000100	29	NV
0001670254-18-000100	30	NH
0001670254-18-000100	31	NJ
0001670254-18-000100	32	NM
0001670254-18-000100	33	NY
0001670254-18-000100	1	AL
0001670254-18-000100	2	AK
0001670254-18-000100	3	AZ
0001670254-18-000100	4	AR
0001670254-18-000100	5	CA
0001670254-18-000100	6	CO
0001670254-18-000100	7	CT
0001670254-18-000100	8	DE
0001670254-18-000100	9	DC
0001670254-18-000100	10	FL
0001670254-18-000100	11	GA
0001670254-18-000100	12	HI
0001670254-18-000100	13	ID
0001670254-18-000100	43	TN
0001669191-18-000176	12	HI
0001669191-18-000176	11	GA
0001669191-18-000176	14	IL
0001669191-18-000176	15	IN
0001669191-18-000176	16	IA
0001669191-18-000176	17	KS
0001669191-18-000176	18	KY
0001669191-18-000176	19	LA
0001669191-18-000176	20	ME
0001669191-18-000176	21	MD
0001669191-18-000176	22	MA
0001669191-18-000176	23	MI
0001669191-18-000176	24	MN
0001669191-18-000176	25	MS
0001669191-18-000176	26	MO
0001669191-18-000176	27	MT
0001669191-18-000176	28	NE
0001669191-18-000176	29	NV
0001669191-18-000176	30	NH
0001669191-18-000176	31	NJ
0001669191-18-000176	32	NM
0001669191-18-000176	33	NY
0001669191-18-000176	34	NC
0001669191-18-000176	35	ND
0001669191-18-000176	36	OH
0001669191-18-000176	37	OK
0001669191-18-000176	38	OR
0001669191-18-000176	39	PA
0001669191-18-000176	40	RI
0001669191-18-000176	41	SC
0001669191-18-000176	42	SD
0001669191-18-000176	43	TN
0001669191-18-000176	44	TX
0001669191-18-000176	45	UT
0001669191-18-000176	46	VT
0001669191-18-000176	47	VA
0001669191-18-000176	48	WA
0001669191-18-000176	49	WV
0001669191-18-000176	50	WI
0001669191-18-000176	51	WY
0001669191-18-000176	52	B5
0001669191-18-000176	53	GU
0001669191-18-000176	54	1V
0001669191-18-000176	55	PR
0001669191-18-000176	56	VI
0001669191-18-000176	1	AL
0001669191-18-000176	2	AK
0001669191-18-000176	3	AZ
0001669191-18-000176	4	AR
0001669191-18-000176	5	CA
0001669191-18-000176	6	CO
0001669191-18-000176	7	CT
0001669191-18-000176	8	DE
0001669191-18-000176	9	DC
0001669191-18-000176	10	FL
0001669191-18-000176	13	ID
0001665160-18-000255	34	NC
0001665160-18-000255	35	ND
0001665160-18-000255	36	OH
0001665160-18-000255	37	OK
0001665160-18-000255	38	OR
0001665160-18-000255	39	PA
0001665160-18-000255	40	PR
0001665160-18-000255	41	RI
0001665160-18-000255	42	SC
0001665160-18-000255	43	SD
0001665160-18-000255	44	TN
0001665160-18-000255	45	TX
0001665160-18-000255	46	UT
0001665160-18-000255	47	VT
0001665160-18-000255	48	VA
0001665160-18-000255	49	WA
0001665160-18-000255	1	AL
0001665160-18-000255	50	WV
0001665160-18-000255	51	WI
0001665160-18-000255	52	WY
0001665160-18-000255	2	AK
0001665160-18-000255	3	AZ
0001665160-18-000255	4	AR
0001665160-18-000255	5	CA
0001665160-18-000255	6	CO
0001665160-18-000255	7	CT
0001665160-18-000255	8	DC
0001665160-18-000255	9	DE
0001665160-18-000255	10	FL
0001665160-18-000255	11	GA
0001665160-18-000255	12	HI
0001665160-18-000255	13	ID
0001665160-18-000258	23	MI
0001665160-18-000258	24	MN
0001665160-18-000258	25	MS
0001665160-18-000258	26	MO
0001665160-18-000258	27	MT
0001665160-18-000258	28	NE
0001665160-18-000258	29	NV
0001665160-18-000258	30	NH
0001665160-18-000258	31	NJ
0001665160-18-000258	32	NM
0001665160-18-000258	33	NY
0001665160-18-000258	34	NC
0001665160-18-000258	35	ND
0001665160-18-000258	36	OH
0001665160-18-000258	37	OK
0001665160-18-000258	38	OR
0001665160-18-000258	39	PA
0001665160-18-000258	40	PR
0001665160-18-000258	41	RI
0001665160-18-000258	42	SC
0001665160-18-000258	43	SD
0001665160-18-000255	14	IL
0001665160-18-000255	15	IN
0001665160-18-000255	16	IA
0001665160-18-000255	17	KS
0001665160-18-000255	18	KY
0001665160-18-000255	19	LA
0001665160-18-000255	20	ME
0001665160-18-000255	21	MD
0001665160-18-000255	22	MA
0001665160-18-000255	23	MI
0001665160-18-000255	24	MN
0001665160-18-000255	25	MS
0001665160-18-000255	26	MO
0001665160-18-000255	27	MT
0001665160-18-000255	28	NE
0001665160-18-000255	29	NV
0001665160-18-000255	30	NH
0001665160-18-000255	31	NJ
0001665160-18-000255	32	NM
0001665160-18-000255	33	NY
0001665160-18-000258	44	TN
0001665160-18-000258	45	TX
0001665160-18-000258	46	UT
0001665160-18-000258	47	VT
0001665160-18-000258	48	VA
0001665160-18-000258	49	WA
0001665160-18-000258	50	WV
0001665160-18-000258	51	WI
0001665160-18-000258	52	WY
0001665160-18-000258	1	AL
0001665160-18-000258	2	AK
0001665160-18-000258	3	AZ
0001665160-18-000258	4	AR
0001665160-18-000258	5	CA
0001665160-18-000258	6	CO
0001665160-18-000258	7	CT
0001665160-18-000258	8	DC
0001665160-18-000258	9	DE
0001665160-18-000258	10	FL
0001665160-18-000258	11	GA
0001665160-18-000258	12	HI
0001665160-18-000258	13	ID
0001665160-18-000258	14	IL
0001665160-18-000258	15	IN
0001665160-18-000258	16	IA
0001665160-18-000258	17	KS
0001665160-18-000258	18	KY
0001665160-18-000258	19	LA
0001665160-18-000258	20	ME
0001665160-18-000258	21	MD
0001665160-18-000258	22	MA
0001704090-18-000003	28	NE
0001704090-18-000003	29	NV
0001704090-18-000003	30	NH
0001704090-18-000003	31	NJ
0001704090-18-000003	32	NM
0001704090-18-000003	33	NY
0001704090-18-000003	34	NC
0001704090-18-000003	35	ND
0001704090-18-000003	36	OH
0001704090-18-000003	37	OK
0001704090-18-000003	38	OR
0001704090-18-000003	39	PA
0001704090-18-000003	40	PR
0001704090-18-000003	41	RI
0001704090-18-000003	42	SC
0001704090-18-000003	43	SD
0001704090-18-000003	44	TN
0001704090-18-000003	45	TX
0001704090-18-000003	46	UT
0001704090-18-000003	47	VT
0001704090-18-000003	48	VA
0001704090-18-000003	49	WA
0001704090-18-000003	50	WV
0001704090-18-000003	51	WI
0001704090-18-000003	52	WY
0001704090-18-000003	53	A0
0001704090-18-000003	54	A1
0001704090-18-000003	55	A2
0001704090-18-000003	56	A3
0001704090-18-000003	57	A4
0001704090-18-000003	58	A5
0001704090-18-000003	59	A6
0001704090-18-000003	60	A7
0001704090-18-000003	61	A8
0001704090-18-000003	62	A9
0001704090-18-000003	63	B0
0001704090-18-000003	64	Z4
0001704090-18-000003	1	AL
0001704090-18-000003	2	AK
0001704090-18-000003	3	AZ
0001704090-18-000003	4	AR
0001704090-18-000003	5	CA
0001704090-18-000003	6	CO
0001704090-18-000003	7	CT
0001704090-18-000003	8	DE
0001704090-18-000003	9	DC
0001704090-18-000003	10	FL
0001704090-18-000003	11	GA
0001704090-18-000003	12	HI
0001704090-18-000003	13	ID
0001704090-18-000003	14	IL
0001704090-18-000003	15	IN
0001704090-18-000003	16	IA
0001704090-18-000003	17	KS
0001704090-18-000003	18	KY
0001704090-18-000003	19	LA
0001704090-18-000003	20	ME
0001704090-18-000003	21	MD
0001704090-18-000003	22	MA
0001704090-18-000003	23	MI
0001704090-18-000003	24	MN
0001704090-18-000003	25	MS
0001704090-18-000003	26	MO
0001704090-18-000003	27	MT
0001734621-18-000002	1	AL
0001734621-18-000002	52	WY
0001734621-18-000002	3	AZ
0001734621-18-000002	4	AR
0001734621-18-000002	5	CA
0001734621-18-000002	6	CO
0001734621-18-000002	7	CT
0001734621-18-000002	8	DE
0001734621-18-000002	9	DC
0001734621-18-000002	10	FL
0001734621-18-000002	11	GA
0001734621-18-000002	12	HI
0001734621-18-000002	13	ID
0001734621-18-000002	14	IL
0001734621-18-000002	15	IN
0001734621-18-000002	16	IA
0001734621-18-000002	17	KS
0001734621-18-000002	18	KY
0001734621-18-000002	19	LA
0001734621-18-000002	20	ME
0001734621-18-000002	21	MD
0001734621-18-000002	22	MA
0001734621-18-000002	23	MI
0001734621-18-000002	24	MN
0001734621-18-000002	25	MS
0001734621-18-000002	26	MO
0001734621-18-000002	27	MT
0001734621-18-000002	28	NE
0001734621-18-000002	29	NV
0001734621-18-000002	30	NH
0001734621-18-000002	31	NJ
0001734621-18-000002	32	NM
0001734621-18-000002	33	NY
0001734621-18-000002	34	NC
0001734621-18-000002	35	ND
0001734621-18-000002	36	OH
0001734621-18-000002	37	OK
0001734621-18-000002	38	OR
0001734621-18-000002	39	PA
0001734621-18-000002	40	PR
0001734621-18-000002	41	RI
0001734621-18-000002	42	SC
0001734621-18-000002	43	SD
0001734621-18-000002	44	TN
0001734621-18-000002	45	TX
0001734621-18-000002	46	UT
0001734621-18-000002	47	VT
0001734621-18-000002	48	VA
0001734621-18-000002	49	WA
0001734621-18-000002	50	WV
0001734621-18-000002	51	WI
0001734621-18-000002	2	AK
0001728855-18-000003	36	OH
0001728855-18-000003	37	OK
0001728855-18-000003	38	OR
0001728855-18-000003	39	PA
0001728855-18-000003	40	PR
0001728855-18-000003	41	RI
0001728855-18-000003	42	SC
0001728855-18-000003	43	SD
0001728855-18-000003	44	TN
0001728855-18-000003	45	TX
0001728855-18-000003	46	UT
0001728855-18-000003	47	VT
0001728855-18-000003	48	VA
0001728855-18-000003	49	WA
0001728855-18-000003	50	WV
0001728855-18-000003	51	WI
0001728855-18-000003	52	WY
0001728855-18-000003	53	A0
0001728855-18-000003	54	A1
0001728855-18-000003	55	A2
0001728855-18-000003	56	A3
0001728855-18-000003	57	A4
0001728855-18-000003	58	A5
0001728855-18-000003	59	A6
0001728855-18-000003	60	A7
0001728855-18-000003	61	A8
0001728855-18-000003	62	A9
0001728855-18-000003	63	B0
0001728855-18-000003	64	Z4
0001728855-18-000003	4	AR
0001728855-18-000003	5	CA
0001728855-18-000003	6	CO
0001728855-18-000003	7	CT
0001728855-18-000003	8	DE
0001728855-18-000003	9	DC
0001728855-18-000003	10	FL
0001728855-18-000003	11	GA
0001728855-18-000003	12	HI
0001728855-18-000003	13	ID
0001728855-18-000003	1	AL
0001728855-18-000003	2	AK
0001728855-18-000003	3	AZ
0001728855-18-000003	14	IL
0001728855-18-000003	15	IN
0001728855-18-000003	16	IA
0001728855-18-000003	17	KS
0001728855-18-000003	18	KY
0001728855-18-000003	19	LA
0001728855-18-000003	20	ME
0001728855-18-000003	21	MD
0001728855-18-000003	22	MA
0001728855-18-000003	23	MI
0001728855-18-000003	24	MN
0001728855-18-000003	25	MS
0001728855-18-000003	26	MO
0001728855-18-000003	27	MT
0001728855-18-000003	28	NE
0001728855-18-000003	29	NV
0001728855-18-000003	30	NH
0001728855-18-000003	31	NJ
0001728855-18-000003	32	NM
0001728855-18-000003	33	NY
0001728855-18-000003	34	NC
0001728855-18-000003	35	ND
0001665160-18-000251	24	MN
0001665160-18-000251	23	MI
0001665160-18-000251	26	MO
0001665160-18-000251	27	MT
0001665160-18-000251	28	NE
0001665160-18-000251	29	NV
0001665160-18-000251	30	NH
0001665160-18-000251	31	NJ
0001665160-18-000251	32	NM
0001665160-18-000251	33	NY
0001665160-18-000251	34	NC
0001665160-18-000251	35	ND
0001665160-18-000251	36	OH
0001665160-18-000251	37	OK
0001665160-18-000251	38	OR
0001665160-18-000251	39	PA
0001665160-18-000251	40	PR
