ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001820003-20-000004	36	ND
0001820003-20-000004	37	OH
0001820003-20-000004	38	OK
0001820003-20-000004	39	OR
0001820003-20-000004	40	PA
0001820003-20-000004	41	PR
0001820003-20-000004	42	RI
0001820003-20-000004	43	SC
0001820003-20-000004	44	SD
0001820003-20-000004	45	TN
0001820003-20-000004	46	TX
0001820003-20-000004	47	UT
0001820003-20-000004	48	VT
0001820003-20-000004	49	VI
0001820003-20-000004	50	VA
0001820003-20-000004	51	WA
0001820003-20-000004	52	WV
0001820003-20-000004	53	WI
0001820003-20-000004	54	WY
0001820003-20-000004	55	B5
0001820003-20-000004	1	AL
0001820003-20-000004	2	AK
0001820003-20-000004	3	AZ
0001820003-20-000004	4	AR
0001820003-20-000004	5	CA
0001820003-20-000004	6	CO
0001820003-20-000004	7	CT
0001820003-20-000004	8	DE
0001820003-20-000004	9	DC
0001820003-20-000004	10	FL
0001820003-20-000004	11	GA
0001820003-20-000004	56	1V
0001820003-20-000004	12	GU
0001820003-20-000004	13	HI
0001820003-20-000004	14	ID
0001820003-20-000004	15	IL
0001820003-20-000004	16	IN
0001820003-20-000004	17	IA
0001820003-20-000004	18	KS
0001820003-20-000004	19	KY
0001820003-20-000004	20	LA
0001820003-20-000004	21	ME
0001820003-20-000004	22	MD
0001820003-20-000004	23	MA
0001820003-20-000004	24	MI
0001820003-20-000004	25	MN
0001820003-20-000004	26	MS
0001820003-20-000004	27	MO
0001820003-20-000004	28	MT
0001820003-20-000004	29	NE
0001820003-20-000004	30	NV
0001820003-20-000004	31	NH
0001820003-20-000004	32	NJ
0001820003-20-000004	33	NM
0001820003-20-000004	34	NY
0001820003-20-000004	35	NC
0001665160-20-001227	41	RI
0001665160-20-001227	40	PR
0001665160-20-001227	43	SD
0001665160-20-001227	44	TN
0001665160-20-001227	45	TX
0001665160-20-001227	46	UT
0001665160-20-001227	47	VT
0001665160-20-001227	48	VA
0001665160-20-001227	49	WA
0001665160-20-001227	50	WV
0001665160-20-001227	51	WI
0001665160-20-001227	52	WY
0001665160-20-001227	1	AL
0001665160-20-001227	2	AK
0001665160-20-001227	3	AZ
0001665160-20-001227	4	AR
0001665160-20-001227	5	CA
0001665160-20-001227	6	CO
0001665160-20-001227	7	CT
0001665160-20-001227	8	DC
0001665160-20-001227	9	DE
0001665160-20-001227	10	FL
0001665160-20-001227	11	GA
0001665160-20-001227	12	HI
0001665160-20-001227	13	ID
0001665160-20-001227	14	IL
0001665160-20-001227	15	IN
0001665160-20-001227	16	IA
0001665160-20-001227	17	KS
0001665160-20-001227	18	KY
0001665160-20-001227	19	LA
0001665160-20-001227	20	ME
0001665160-20-001227	21	MD
0001665160-20-001227	22	MA
0001665160-20-001227	23	MI
0001665160-20-001227	24	MN
0001665160-20-001227	25	MS
0001665160-20-001227	26	MO
0001665160-20-001227	27	MT
0001665160-20-001227	28	NE
0001665160-20-001227	29	NV
0001665160-20-001227	30	NH
0001665160-20-001227	31	NJ
0001665160-20-001227	32	NM
0001665160-20-001227	33	NY
0001665160-20-001227	34	NC
0001665160-20-001227	35	ND
0001665160-20-001227	36	OH
0001665160-20-001227	37	OK
0001665160-20-001227	38	OR
0001665160-20-001227	39	PA
0001665160-20-001227	42	SC
0001826174-20-000002	45	TX
0001826174-20-000002	37	OK
0001826174-20-000002	47	VT
0001826174-20-000002	48	VA
0001826174-20-000002	49	WA
0001826174-20-000002	50	WV
0001826174-20-000002	51	WI
0001826174-20-000002	52	WY
0001826174-20-000002	53	A0
0001826174-20-000002	54	A1
0001826174-20-000002	55	A2
0001826174-20-000002	56	A3
0001826174-20-000002	57	A4
0001826174-20-000002	58	A5
0001826174-20-000002	38	OR
0001826174-20-000002	39	PA
0001826174-20-000002	40	PR
0001826174-20-000002	41	RI
0001826174-20-000002	42	SC
0001826174-20-000002	43	SD
0001826174-20-000002	44	TN
0001826174-20-000002	59	A6
0001826174-20-000002	60	A7
0001826174-20-000002	61	A8
0001826174-20-000002	62	A9
0001826174-20-000002	63	B0
0001826174-20-000002	64	Z4
0001826174-20-000002	1	AL
0001826174-20-000002	2	AK
0001826174-20-000002	3	AZ
0001826174-20-000002	4	AR
0001826174-20-000002	5	CA
0001826174-20-000002	6	CO
0001826174-20-000002	7	CT
0001826174-20-000002	8	DE
0001826174-20-000002	9	DC
0001826174-20-000002	10	FL
0001826174-20-000002	11	GA
0001826174-20-000002	12	HI
0001826174-20-000002	13	ID
0001826174-20-000002	14	IL
0001826174-20-000002	15	IN
0001826174-20-000002	16	IA
0001826174-20-000002	17	KS
0001826174-20-000002	18	KY
0001826174-20-000002	19	LA
0001826174-20-000002	20	ME
0001826174-20-000002	21	MD
0001826174-20-000002	22	MA
0001826174-20-000002	23	MI
0001826174-20-000002	24	MN
0001826174-20-000002	25	MS
0001826174-20-000002	26	MO
0001826174-20-000002	27	MT
0001826174-20-000002	28	NE
0001826174-20-000002	29	NV
0001826174-20-000002	30	NH
0001826174-20-000002	31	NJ
0001826174-20-000002	32	NM
0001826174-20-000002	33	NY
0001826174-20-000002	34	NC
0001826174-20-000002	35	ND
0001826174-20-000002	36	OH
0001826174-20-000002	46	UT
0001669191-20-000558	31	NJ
0001669191-20-000558	32	NM
0001669191-20-000558	33	NY
0001669191-20-000558	34	NC
0001669191-20-000558	35	ND
0001669191-20-000558	36	OH
0001669191-20-000558	37	OK
0001669191-20-000558	38	OR
0001669191-20-000558	39	PA
0001669191-20-000558	40	RI
0001669191-20-000558	41	SC
0001669191-20-000558	42	SD
0001669191-20-000558	43	TN
0001669191-20-000558	44	TX
0001669191-20-000558	45	UT
0001669191-20-000558	46	VT
0001669191-20-000558	47	VA
0001669191-20-000558	49	WV
0001669191-20-000558	50	WI
0001669191-20-000558	51	WY
0001669191-20-000558	52	B5
0001669191-20-000558	53	GU
0001669191-20-000558	54	1V
0001669191-20-000558	55	PR
0001669191-20-000558	56	VI
0001669191-20-000558	30	NH
0001669191-20-000558	1	AL
0001669191-20-000558	2	AK
0001669191-20-000558	3	AZ
0001669191-20-000558	4	AR
0001669191-20-000558	5	CA
0001669191-20-000558	6	CO
0001669191-20-000558	7	CT
0001669191-20-000558	8	DE
0001669191-20-000558	9	DC
0001669191-20-000558	10	FL
0001669191-20-000558	11	GA
0001669191-20-000558	12	HI
0001669191-20-000558	13	ID
0001669191-20-000558	14	IL
0001669191-20-000558	15	IN
0001669191-20-000558	16	IA
0001669191-20-000558	17	KS
0001669191-20-000558	18	KY
0001669191-20-000558	19	LA
0001669191-20-000558	20	ME
0001669191-20-000558	21	MD
0001669191-20-000558	22	MA
0001669191-20-000558	23	MI
0001669191-20-000558	24	MN
0001669191-20-000558	25	MS
0001669191-20-000558	26	MO
0001669191-20-000558	27	MT
0001669191-20-000558	28	NE
0001669191-20-000558	29	NV
0001669191-20-000558	48	WA
0001669191-20-000556	38	OR
0001669191-20-000556	37	OK
0001669191-20-000556	40	RI
0001669191-20-000556	41	SC
0001669191-20-000556	42	SD
0001669191-20-000556	43	TN
0001669191-20-000556	44	TX
0001669191-20-000556	45	UT
0001669191-20-000556	46	VT
0001669191-20-000556	47	VA
0001669191-20-000556	48	WA
0001669191-20-000556	49	WV
0001669191-20-000556	50	WI
0001669191-20-000556	51	WY
0001669191-20-000556	52	B5
0001669191-20-000556	1	AL
0001669191-20-000556	2	AK
0001669191-20-000556	3	AZ
0001669191-20-000556	53	GU
0001669191-20-000556	54	1V
0001669191-20-000556	55	PR
0001669191-20-000556	56	VI
0001669191-20-000556	4	AR
0001669191-20-000556	5	CA
0001669191-20-000556	6	CO
0001669191-20-000556	7	CT
0001669191-20-000556	8	DE
0001669191-20-000556	9	DC
0001669191-20-000556	10	FL
0001669191-20-000556	11	GA
0001669191-20-000556	12	HI
0001669191-20-000556	13	ID
0001669191-20-000556	14	IL
0001669191-20-000556	15	IN
0001669191-20-000556	16	IA
0001669191-20-000556	17	KS
0001669191-20-000556	18	KY
0001669191-20-000556	19	LA
0001669191-20-000556	20	ME
0001669191-20-000556	21	MD
0001669191-20-000556	22	MA
0001669191-20-000556	23	MI
0001669191-20-000556	24	MN
0001669191-20-000556	25	MS
0001669191-20-000556	26	MO
0001669191-20-000556	27	MT
0001669191-20-000556	28	NE
0001669191-20-000556	29	NV
0001669191-20-000556	30	NH
0001669191-20-000556	31	NJ
0001669191-20-000556	32	NM
0001669191-20-000556	33	NY
0001669191-20-000556	34	NC
0001669191-20-000556	35	ND
0001669191-20-000556	36	OH
0001669191-20-000556	39	PA
0001815319-20-000002	18	KY
0001815319-20-000002	52	WY
0001815319-20-000002	20	ME
0001815319-20-000002	21	MD
0001815319-20-000002	22	MA
0001815319-20-000002	23	MI
0001815319-20-000002	24	MN
0001815319-20-000002	25	MS
0001815319-20-000002	26	MO
0001815319-20-000002	27	MT
0001815319-20-000002	28	NE
0001815319-20-000002	29	NV
0001815319-20-000002	30	NH
0001815319-20-000002	31	NJ
0001815319-20-000002	32	NM
0001815319-20-000002	33	NY
0001815319-20-000002	34	NC
0001815319-20-000002	35	ND
0001815319-20-000002	1	AL
0001815319-20-000002	2	AK
0001815319-20-000002	3	AZ
0001815319-20-000002	4	AR
0001815319-20-000002	5	CA
0001815319-20-000002	6	CO
0001815319-20-000002	7	CT
0001815319-20-000002	8	DE
