ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-19-001263	43	SD
0001665160-19-001263	42	SC
0001665160-19-001263	45	TX
0001665160-19-001263	46	UT
0001665160-19-001263	47	VT
0001665160-19-001263	48	VA
0001665160-19-001263	49	WA
0001665160-19-001263	50	WV
0001665160-19-001263	51	WI
0001665160-19-001263	52	WY
0001665160-19-001263	1	AL
0001665160-19-001263	2	AK
0001665160-19-001263	3	AZ
0001665160-19-001263	4	AR
0001665160-19-001263	5	CA
0001665160-19-001263	6	CO
0001665160-19-001263	7	CT
0001665160-19-001263	8	DE
0001665160-19-001263	9	DC
0001665160-19-001263	10	FL
0001665160-19-001263	11	GA
0001665160-19-001263	12	HI
0001665160-19-001263	13	ID
0001665160-19-001263	14	IL
0001665160-19-001263	15	IN
0001665160-19-001263	16	IA
0001665160-19-001263	17	KS
0001665160-19-001263	18	KY
0001665160-19-001263	19	LA
0001665160-19-001263	20	ME
0001665160-19-001263	21	MD
0001665160-19-001263	22	MA
0001665160-19-001263	23	MI
0001665160-19-001263	24	MN
0001665160-19-001263	25	MS
0001665160-19-001263	26	MO
0001665160-19-001263	27	MT
0001665160-19-001263	28	NE
0001665160-19-001263	29	NV
0001665160-19-001263	30	NH
0001665160-19-001263	31	NJ
0001665160-19-001263	32	NM
0001665160-19-001263	33	NY
0001665160-19-001263	34	NC
0001665160-19-001263	35	ND
0001665160-19-001263	36	OH
0001665160-19-001263	37	OK
0001665160-19-001263	38	OR
0001665160-19-001263	39	PA
0001665160-19-001263	40	PR
0001665160-19-001263	41	RI
0001665160-19-001263	44	TN
0001746059-19-000111	52	WY
0001746059-19-000111	51	WI
0001746059-19-000111	2	AK
0001746059-19-000111	3	AZ
0001746059-19-000111	4	AR
0001746059-19-000111	5	CA
0001746059-19-000111	6	CO
0001746059-19-000111	7	CT
0001746059-19-000111	8	DE
0001746059-19-000111	9	DC
0001746059-19-000111	10	FL
0001746059-19-000111	11	GA
0001746059-19-000111	12	HI
0001746059-19-000111	13	ID
0001746059-19-000111	14	IL
0001746059-19-000111	15	IN
0001746059-19-000111	16	IA
0001746059-19-000111	17	KS
0001746059-19-000111	18	KY
0001746059-19-000111	19	LA
0001746059-19-000111	20	ME
0001746059-19-000111	21	MD
0001746059-19-000111	22	MA
0001746059-19-000111	23	MI
0001746059-19-000111	24	MN
0001746059-19-000111	25	MS
0001746059-19-000111	26	MO
0001746059-19-000111	27	MT
0001746059-19-000111	28	NE
0001746059-19-000111	29	NV
0001746059-19-000111	30	NH
0001746059-19-000111	31	NJ
0001746059-19-000111	32	NM
0001746059-19-000111	33	NY
0001746059-19-000111	34	NC
0001746059-19-000111	35	ND
0001746059-19-000111	36	OH
0001746059-19-000111	37	OK
0001746059-19-000111	38	OR
0001746059-19-000111	39	PA
0001746059-19-000111	40	PR
0001746059-19-000111	41	RI
0001746059-19-000111	42	SC
0001746059-19-000111	43	SD
0001746059-19-000111	44	TN
0001746059-19-000111	45	TX
0001746059-19-000111	46	UT
0001746059-19-000111	47	VT
0001746059-19-000111	48	VA
0001746059-19-000111	49	WA
0001746059-19-000111	50	WV
0001746059-19-000111	1	AL
0001665160-19-001262	33	NY
0001665160-19-001262	34	NC
0001665160-19-001262	35	ND
0001665160-19-001262	36	OH
0001665160-19-001262	37	OK
0001665160-19-001262	38	OR
0001665160-19-001262	39	PA
0001665160-19-001262	40	PR
0001665160-19-001262	41	RI
0001665160-19-001262	42	SC
0001665160-19-001262	43	SD
0001665160-19-001262	44	TN
0001665160-19-001262	45	TX
0001665160-19-001262	46	UT
0001665160-19-001262	47	VT
0001665160-19-001262	48	VA
0001665160-19-001262	49	WA
