ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001670254-18-000328	17	KS
0001670254-18-000328	16	IA
0001670254-18-000328	19	LA
0001670254-18-000328	20	ME
0001670254-18-000328	21	MD
0001670254-18-000328	22	MA
0001670254-18-000328	23	MI
0001670254-18-000328	24	MN
0001670254-18-000328	25	MS
0001670254-18-000328	26	MO
0001670254-18-000328	27	MT
0001670254-18-000328	28	NE
0001670254-18-000328	29	NV
0001670254-18-000328	30	NH
0001670254-18-000328	31	NJ
0001670254-18-000328	32	NM
0001670254-18-000328	33	NY
0001670254-18-000328	34	NC
0001670254-18-000328	35	ND
0001670254-18-000328	36	OH
0001670254-18-000328	37	OK
0001670254-18-000328	38	OR
0001670254-18-000328	39	PA
0001670254-18-000328	40	RI
0001670254-18-000328	41	SC
0001670254-18-000328	42	SD
0001670254-18-000328	43	TN
0001670254-18-000328	44	TX
0001670254-18-000328	45	UT
0001670254-18-000328	46	VT
0001670254-18-000328	47	VA
0001670254-18-000328	48	WA
0001670254-18-000328	49	WV
0001670254-18-000328	50	WI
0001670254-18-000328	51	WY
0001670254-18-000328	52	B5
0001670254-18-000328	53	GU
0001670254-18-000328	54	PR
0001670254-18-000328	55	VI
0001670254-18-000328	56	1V
0001670254-18-000328	1	AL
0001670254-18-000328	2	AK
0001670254-18-000328	3	AZ
0001670254-18-000328	4	AR
0001670254-18-000328	5	CA
0001670254-18-000328	6	CO
0001670254-18-000328	7	CT
0001670254-18-000328	8	DE
0001670254-18-000328	9	DC
0001670254-18-000328	10	FL
0001670254-18-000328	11	GA
0001670254-18-000328	12	HI
0001670254-18-000328	13	ID
0001670254-18-000328	14	IL
0001670254-18-000328	15	IN
0001670254-18-000328	18	KY
0001665160-18-000639	42	SC
0001665160-18-000639	43	SD
0001665160-18-000639	44	TN
0001665160-18-000639	45	TX
0001665160-18-000639	46	UT
0001665160-18-000639	47	VT
0001665160-18-000639	48	VA
0001665160-18-000639	49	WA
0001665160-18-000639	50	WV
0001665160-18-000639	51	WI
0001665160-18-000639	52	WY
0001665160-18-000639	1	AL
0001665160-18-000639	2	AK
0001665160-18-000639	3	AZ
0001665160-18-000639	4	AR
0001665160-18-000639	5	CA
0001665160-18-000639	6	CO
0001665160-18-000639	7	CT
0001665160-18-000639	8	DE
0001665160-18-000639	9	DC
0001665160-18-000639	10	FL
0001665160-18-000639	11	GA
0001665160-18-000639	12	HI
0001665160-18-000639	13	ID
0001665160-18-000639	14	IL
0001665160-18-000639	15	IN
0001665160-18-000639	16	IA
0001665160-18-000639	17	KS
0001665160-18-000639	18	KY
0001665160-18-000639	19	LA
0001665160-18-000639	20	ME
