ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-20-000899	1	AL
0001665160-20-000899	15	IN
0001665160-20-000899	3	AZ
0001665160-20-000899	4	AR
0001665160-20-000899	5	CA
0001665160-20-000899	6	CO
0001665160-20-000899	7	CT
0001665160-20-000899	8	DC
0001665160-20-000899	9	DE
0001665160-20-000899	10	FL
0001665160-20-000899	16	IA
0001665160-20-000899	17	KS
0001665160-20-000899	18	KY
0001665160-20-000899	19	LA
0001665160-20-000899	20	ME
0001665160-20-000899	21	MD
0001665160-20-000899	22	MA
0001665160-20-000899	23	MI
0001665160-20-000899	24	MN
0001665160-20-000899	25	MS
0001665160-20-000899	26	MO
0001665160-20-000899	27	MT
0001665160-20-000899	28	NE
0001665160-20-000899	29	NV
0001665160-20-000899	30	NH
0001665160-20-000899	31	NJ
0001665160-20-000899	32	NM
0001665160-20-000899	33	NY
0001665160-20-000899	34	NC
0001665160-20-000899	35	ND
0001665160-20-000899	36	OH
0001665160-20-000899	37	OK
0001665160-20-000899	38	OR
0001665160-20-000899	39	PA
0001665160-20-000899	40	PR
0001665160-20-000899	41	RI
0001665160-20-000899	42	SC
0001665160-20-000899	43	SD
0001665160-20-000899	44	TN
0001665160-20-000899	45	TX
0001665160-20-000899	46	UT
0001665160-20-000899	47	VT
0001665160-20-000899	48	VA
0001665160-20-000899	49	WA
0001665160-20-000899	50	WV
0001665160-20-000899	51	WI
0001665160-20-000899	52	WY
0001665160-20-000899	11	GA
0001665160-20-000899	12	HI
0001665160-20-000899	13	ID
0001665160-20-000899	14	IL
0001665160-20-000899	2	AK
0001801610-20-000005	7	CT
0001801610-20-000005	6	CO
0001801610-20-000005	9	DC
0001801610-20-000005	10	FL
0001801610-20-000005	11	GA
0001801610-20-000005	12	HI
0001801610-20-000005	13	ID
0001801610-20-000005	14	IL
0001801610-20-000005	15	IN
0001801610-20-000005	16	IA
0001801610-20-000005	17	KS
0001801610-20-000005	18	KY
0001801610-20-000005	19	LA
0001801610-20-000005	20	ME
0001801610-20-000005	21	MD
0001801610-20-000005	22	MA
0001801610-20-000005	23	MI
0001801610-20-000005	24	MN
0001801610-20-000005	25	MS
0001801610-20-000005	26	MO
0001801610-20-000005	27	MT
0001801610-20-000005	28	NE
0001801610-20-000005	29	NV
0001801610-20-000005	30	NH
0001801610-20-000005	31	NJ
0001801610-20-000005	32	NM
0001801610-20-000005	33	NY
0001801610-20-000005	34	NC
0001801610-20-000005	35	ND
0001801610-20-000005	36	OH
0001801610-20-000005	37	OK
0001801610-20-000005	38	OR
0001801610-20-000005	39	PA
0001801610-20-000005	40	PR
0001801610-20-000005	41	RI
0001801610-20-000005	42	SC
0001801610-20-000005	43	SD
0001801610-20-000005	44	TN
0001801610-20-000005	45	TX
0001801610-20-000005	46	UT
0001801610-20-000005	47	VT
0001801610-20-000005	48	VA
0001801610-20-000005	49	WA
0001801610-20-000005	50	WV
0001801610-20-000005	51	WI
0001801610-20-000005	52	WY
0001801610-20-000005	1	AL
0001801610-20-000005	2	AK
0001801610-20-000005	3	AZ
0001801610-20-000005	4	AR
0001801610-20-000005	5	CA
0001801610-20-000005	8	DE
0001665160-20-000897	26	MO
0001665160-20-000897	27	MT
0001665160-20-000897	28	NE
0001665160-20-000897	29	NV
0001665160-20-000897	30	NH
0001665160-20-000897	31	NJ
0001665160-20-000897	32	NM
0001665160-20-000897	33	NY
0001665160-20-000897	34	NC
0001665160-20-000897	35	ND
0001665160-20-000897	36	OH
0001665160-20-000897	37	OK
0001665160-20-000897	38	OR
0001665160-20-000897	39	PA
0001665160-20-000897	40	PR
0001665160-20-000897	41	RI
0001665160-20-000897	42	SC
0001665160-20-000897	43	SD
0001665160-20-000897	44	TN
0001665160-20-000897	45	TX
0001665160-20-000897	46	UT
0001665160-20-000897	47	VT
0001665160-20-000897	48	VA
0001665160-20-000897	49	WA
0001665160-20-000897	50	WV
0001665160-20-000897	51	WI
0001665160-20-000897	52	WY
0001665160-20-000897	1	AL
0001665160-20-000897	2	AK
0001665160-20-000897	3	AZ
0001665160-20-000897	4	AR
0001665160-20-000897	5	CA
0001665160-20-000897	6	CO
0001665160-20-000897	7	CT
0001665160-20-000897	8	DC
0001665160-20-000897	9	DE
0001665160-20-000897	10	FL
0001665160-20-000897	11	GA
0001665160-20-000897	12	HI
0001665160-20-000897	13	ID
0001665160-20-000897	14	IL
0001665160-20-000897	15	IN
0001665160-20-000897	16	IA
0001665160-20-000897	17	KS
0001665160-20-000897	18	KY
0001665160-20-000897	19	LA
0001665160-20-000897	20	ME
0001665160-20-000897	21	MD
0001665160-20-000897	22	MA
0001665160-20-000897	23	MI
0001665160-20-000897	24	MN
0001665160-20-000897	25	MS
0001812932-20-000001	11	GA
0001812932-20-000001	10	FL
0001812932-20-000001	13	HI
0001812932-20-000001	14	ID
0001812932-20-000001	15	IL
0001812932-20-000001	16	IN
0001812932-20-000001	17	IA
0001812932-20-000001	18	KS
