ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-20-001645	1	AL
0001665160-20-001645	36	OH
0001665160-20-001645	3	AZ
0001665160-20-001645	4	AR
0001665160-20-001645	5	CA
0001665160-20-001645	6	CO
0001665160-20-001645	7	CT
0001665160-20-001645	8	DC
0001665160-20-001645	9	DE
0001665160-20-001645	10	FL
0001665160-20-001645	11	GA
0001665160-20-001645	37	OK
0001665160-20-001645	38	OR
0001665160-20-001645	39	PA
0001665160-20-001645	40	PR
0001665160-20-001645	41	RI
0001665160-20-001645	42	SC
0001665160-20-001645	43	SD
0001665160-20-001645	44	TN
0001665160-20-001645	45	TX
0001665160-20-001645	46	UT
0001665160-20-001645	47	VT
0001665160-20-001645	48	VA
0001665160-20-001645	49	WA
0001665160-20-001645	50	WV
0001665160-20-001645	51	WI
0001665160-20-001645	52	WY
0001665160-20-001645	12	HI
0001665160-20-001645	13	ID
0001665160-20-001645	14	IL
0001665160-20-001645	15	IN
0001665160-20-001645	16	IA
0001665160-20-001645	17	KS
0001665160-20-001645	18	KY
0001665160-20-001645	19	LA
0001665160-20-001645	20	ME
0001665160-20-001645	21	MD
0001665160-20-001645	22	MA
0001665160-20-001645	23	MI
0001665160-20-001645	24	MN
0001665160-20-001645	25	MS
0001665160-20-001645	26	MO
0001665160-20-001645	27	MT
0001665160-20-001645	28	NE
0001665160-20-001645	29	NV
0001665160-20-001645	30	NH
0001665160-20-001645	31	NJ
0001665160-20-001645	32	NM
0001665160-20-001645	33	NY
0001665160-20-001645	34	NC
0001665160-20-001645	35	ND
0001665160-20-001645	2	AK
0001823182-20-000005	30	NV
0001823182-20-000005	56	1V
0001823182-20-000005	32	NJ
0001823182-20-000005	33	NM
0001823182-20-000005	34	NY
0001823182-20-000005	35	NC
0001823182-20-000005	36	ND
0001823182-20-000005	37	OH
0001823182-20-000005	38	OK
0001823182-20-000005	39	OR
0001823182-20-000005	1	AL
0001823182-20-000005	2	AK
0001823182-20-000005	3	AZ
0001823182-20-000005	4	AR
0001823182-20-000005	5	CA
0001823182-20-000005	6	CO
0001823182-20-000005	7	CT
0001823182-20-000005	8	DE
0001823182-20-000005	9	DC
0001823182-20-000005	10	FL
0001823182-20-000005	11	GA
0001823182-20-000005	12	GU
0001823182-20-000005	13	HI
0001823182-20-000005	14	ID
0001823182-20-000005	15	IL
0001823182-20-000005	16	IN
0001823182-20-000005	17	IA
0001823182-20-000005	18	KS
0001823182-20-000005	19	KY
0001823182-20-000005	20	LA
0001823182-20-000005	21	ME
0001823182-20-000005	22	MD
0001823182-20-000005	23	MA
0001823182-20-000005	24	MI
0001823182-20-000005	25	MN
0001823182-20-000005	26	MS
0001823182-20-000005	27	MO
0001823182-20-000005	28	MT
0001823182-20-000005	29	NE
0001823182-20-000005	40	PA
0001823182-20-000005	41	PR
0001823182-20-000005	42	RI
0001823182-20-000005	43	SC
0001823182-20-000005	44	SD
0001823182-20-000005	45	TN
0001823182-20-000005	46	TX
0001823182-20-000005	47	UT
0001823182-20-000005	48	VT
0001823182-20-000005	49	VI
0001823182-20-000005	50	VA
0001823182-20-000005	51	WA
0001823182-20-000005	52	WV
0001823182-20-000005	53	WI
0001823182-20-000005	54	WY
